Quarter,Time,Tm,Detail,NOR,WAS
1.0,8:44,Saints,John Carney 21 yard field goal,3,0
,6:49,Saints,John Carney 23 yard field goal,6,0
,4:41,Saints,Boo Williams 2 yard pass from Aaron Brooks (John Carney kick),13,0
2.0,14:54,Saints,Joe Horn 17 yard pass from Aaron Brooks (John Carney kick),20,0
,10:39,Redskins,Stephen Davis 1 yard rush (James Tuthill kick),20,7
,10:26,Saints,Michael Lewis 90 yard kickoff return,26,7
,5:15,Redskins,Patrick Ramsey 1 yard rush (James Tuthill kick),26,14
,1:47,Redskins,Ifeanyi Ohalete 78 yard interception return (James Tuthill kick),26,21
,0:00,Saints,John Carney 36 yard field goal,29,21
3.0,13:04,Saints,Michael Lewis 83 yard punt return (John Carney kick),36,21
4.0,14:52,Saints,Jake Reed 31 yard pass from Aaron Brooks (John Carney kick),43,21
,14:06,Redskins,Kenny Watson 62 yard pass from Patrick Ramsey (pass failed),43,27
