Unnamed: 0,TAM,BAL
First Downs,12,24
Rush-Yds-TDs,21-85-1,49-242-1
Cmp-Att-Yd-TD-INT,13-25-157-0-1,14-23-131-1-0
Sacked-Yards,1-1,2-3
Net Pass Yards,156,128
Total Yards,241,370
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,6-58,8-70
Third Down Conv.,3-10,9-16
Fourth Down Conv.,0-1,1-1
Time of Possession,22:50,37:10
