Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 60 yards, returned by Josh Scobey for 29 yards (tackle by Hunter Hillenmeyer)",0.000,1.530
1,14:55,1,10,ARI 39,0,0,Marcel Shipp right end for 4 yards (tackle by Brian Urlacher and Charles Tillman),1.530,1.530
1,14:16,2,6,ARI 43,0,0,Marcel Shipp right tackle for 3 yards (tackle by Warrick Holdman and Phillip Daniels),1.530,1.220
1,13:35,3,3,ARI 46,0,0,Jeff Blake pass complete to Freddie Jones for 8 yards (tackle by Lance Briggs),1.220,2.520
1,13:09,1,10,CHI 46,0,0,Marcel Shipp left end for 6 yards (tackle by Warrick Holdman),2.520,2.790
1,12:20,2,4,CHI 40,0,0,Jeff Blake pass incomplete intended for Bryan Gilmore,2.790,2.080
1,12:16,3,4,CHI 40,0,0,Jeff Blake pass incomplete intended for Anquan Boldin. Penalty on Chris Dishman: Illegal Touch Pass (Declined),2.080,0.590
1,12:11,4,4,CHI 40,0,0,Scott Player punts 36 yards,0.590,0.380
1,12:01,1,10,CHI 4,0,0,Brock Forsey right guard for 2 yards (tackle by Ronald McKinnon),-0.380,-0.630
1,11:29,2,8,CHI 6,0,0,Kordell Stewart pass complete to Stanley Pritchett for 2 yards (tackle by Dexter Jackson),-0.630,-0.950
1,10:46,3,6,CHI 8,0,0,Kordell Stewart pass complete to Bobby Wade for 24 yards (tackle by Dexter Jackson),-0.950,1.070
1,10:05,1,10,CHI 32,0,0,Brock Forsey right tackle for 9 yards (tackle by Ronald McKinnon and Justin Lucas),1.070,1.740
1,9:27,2,1,CHI 41,0,0,Kordell Stewart pass complete to Justin Gage for 57 yards (tackle by Levar Fisher),1.740,6.740
1,8:56,1,2,ARI 2,0,6,"Kordell Stewart pass complete to Marty Booker for 2 yards, touchdown",6.740,7.000
1,,,,ARI 2,0,7,Paul Edinger kicks extra point good,0.000,0.000
1,,,,CHI 30,0,7,"Paul Edinger kicks off 63 yards, returned by Josh Scobey for 21 yards (tackle by Ahmad Merritt)",0.000,0.810
1,8:43,1,10,ARI 28,0,7,Marcel Shipp right tackle for 2 yards (tackle by Brian Urlacher and Mike Brown),0.810,0.530
1,8:10,2,8,ARI 30,0,7,Marcel Shipp right tackle for 6 yards (tackle by Phillip Daniels),0.530,0.630
1,7:32,3,2,ARI 36,0,7,Jeff Blake left end for 6 yards (tackle by Bryan Robinson),0.630,1.730
1,6:55,1,10,ARI 42,0,7,Marcel Shipp left tackle for -1 yards (tackle by Keith Traylor),1.730,1.050
1,6:16,2,11,ARI 41,0,7,Jeff Blake pass complete to Marcel Shipp for 10 yards (tackle by Phillip Daniels),1.050,1.690
1,5:33,3,1,CHI 49,0,7,Marcel Shipp right guard for 2 yards (tackle by Alex Brown),1.690,2.460
1,4:54,1,10,CHI 47,0,7,Jeff Blake pass complete to Freddie Jones for 28 yards (tackle by Lance Briggs),2.460,4.310
1,4:11,1,10,CHI 19,0,7,Emmitt Smith right tackle for -3 yards (tackle by Brian Urlacher),4.310,3.360
1,3:33,2,13,CHI 22,0,7,Jeff Blake pass complete to Steve Bush for 7 yards (tackle by Mike Brown),3.360,3.580
1,2:47,3,6,CHI 15,0,7,Jeff Blake pass incomplete intended for Freddie Jones (defended by Mike Brown),3.580,2.470
1,2:42,4,6,CHI 15,3,7,Neil Rackers 32 yard field goal good,2.470,3.000
1,,,,ARI 30,3,7,"Neil Rackers kicks off 48 yards, returned by John Gilmore for 11 yards (tackle by Kenny King)",0.000,1.140
1,2:32,1,10,CHI 33,3,7,Brock Forsey right tackle for 11 yards (tackle by Ronald McKinnon),1.140,1.860
1,1:52,1,10,CHI 44,3,7,Bobby Wade left end for -6 yards (tackle by Coby Rhinehart),1.860,0.510
1,1:12,2,16,CHI 38,3,7,Kordell Stewart pass complete to Marty Booker for 10 yards (tackle by Raynoch Thompson),0.510,1.160
1,0:30,3,6,CHI 48,3,7,"Kordell Stewart pass incomplete intended for Dez White. Penalty on David Barrett: Illegal Use of Hands, 5 yards (no play)",1.160,2.460
1,0:24,1,10,ARI 47,3,7,Brock Forsey right guard for 15 yards (tackle by David Barrett),2.460,3.450
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 32,3,7,Brock Forsey right tackle for 2 yards (tackle by Ronald McKinnon),3.450,3.170
2,14:21,2,8,ARI 30,3,7,Kordell Stewart pass complete to Stanley Pritchett for 4 yards (tackle by Ronald McKinnon),3.170,3.010
2,13:35,3,4,ARI 26,3,7,Rabih Abdullah right tackle for no gain (tackle by Kenny King),3.010,1.810
2,12:55,4,4,ARI 26,3,7,Paul Edinger 44 yard field goal no good,1.810,-1.200
