Unnamed: 0,ARI,CHI
First Downs,9,25
Rush-Yds-TDs,18-46-0,36-154-2
Cmp-Att-Yd-TD-INT,20-32-163-0-2,22-37-284-2-0
Sacked-Yards,1-12,3-16
Net Pass Yards,151,268
Total Yards,197,422
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,3-15,4-25
Third Down Conv.,4-13,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,24:38,35:22
