Quarter,Time,Tm,Detail,ARI,CHI
1.0,8:50,Bears,Marty Booker 2 yard pass from Kordell Stewart (Paul Edinger kick),0,7
,2:37,Cardinals,Neil Rackers 32 yard field goal,3,7
4.0,13:55,Bears,Dez White 10 yard pass from Kordell Stewart (Paul Edinger kick),3,14
,7:46,Bears,Kordell Stewart 8 yard rush (Paul Edinger kick),3,21
,3:33,Bears,Brock Forsey 9 yard rush (Paul Edinger kick),3,28
