Quarter,Time,Tm,Detail,TEN,PIT
1.0,10:11,Steelers,Najee Harris 10 yard rush (Chris Boswell kick),0,7
,2:48,Titans,Nick Folk 36 yard field goal,3,7
2.0,6:35,Titans,Derrick Henry 2 yard rush (Nick Folk kick),10,7
,1:16,Steelers,Chris Boswell 29 yard field goal,10,10
,0:00,Titans,Nick Folk 36 yard field goal,13,10
3.0,5:41,Steelers,Chris Boswell 30 yard field goal,13,13
,0:19,Titans,Nick Folk 48 yard field goal,16,13
4.0,4:02,Steelers,Diontae Johnson 3 yard pass from Kenny Pickett (Chris Boswell kick),16,20
