Unnamed: 0,TEN,PIT
First Downs,23,22
Rush-Yds-TDs,25-105-1,30-166-1
Cmp-Att-Yd-TD-INT,22-39-262-0-1,19-30-160-1-0
Sacked-Yards,4-27,0-0
Net Pass Yards,235,160
Total Yards,340,326
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-51,10-80
Third Down Conv.,3-13,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,31:09,28:51
