Quarter,Time,Down,ToGo,Location,TEN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 66 yards, returned by Godwin Igwebuike for 23 yards (tackle by Monty Rice)",0.000,0.410
1,14:57,1,10,PIT 22,0,0,Najee Harris left guard for 4 yards (tackle by Denico Autry),0.410,0.410
1,14:18,2,6,PIT 26,0,0,Kenny Pickett pass incomplete short right intended for Najee Harris (defended by Denico Autry),0.410,-0.290
1,14:13,3,6,PIT 26,0,0,Kenny Pickett pass complete short right to Allen Robinson for 10 yards (tackle by Eric Garror),-0.290,1.330
1,13:32,1,10,PIT 36,0,0,Kenny Pickett pass complete short left to Jaylen Warren for 9 yards (tackle by Amani Hooker),1.330,2.010
1,12:55,2,1,PIT 45,0,0,Jaylen Warren left tackle for 7 yards (tackle by Azeez Al-Shaair and Jack Gibbens),2.010,2.390
1,12:14,1,10,TEN 48,0,0,"Kenny Pickett pass complete short right to Connor Heyward for 11 yards (tackle by Azeez Al-Shaair and Sean Murphy-Bunting). Penalty on Denico Autry: Defensive Offside, 5 yards (declined)",2.390,3.120
1,11:50,1,10,TEN 37,0,0,"Kenny Pickett pass incomplete intended for George Pickens. Penalty on Broderick Jones: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.120,2.790
1,11:45,1,15,TEN 42,0,0,Kenny Pickett pass incomplete deep left intended for Diontae Johnson,2.790,1.900
1,11:41,2,15,TEN 42,0,0,Kenny Pickett pass complete short right to Diontae Johnson for 13 yards (tackle by Amani Hooker),1.900,2.940
1,10:59,3,2,TEN 29,0,0,Kenny Pickett pass complete deep right to Diontae Johnson for 19 yards (tackle by Terrell Edmunds),2.940,4.910
1,10:16,1,10,TEN 10,0,6,"Najee Harris right tackle for 10 yards, touchdown",4.910,7.000
1,10:11,,,TEN 15,0,7,Chris Boswell kicks extra point good,0.000,0.000
