Unnamed: 0,DET,CAR
First Downs,21,20
Rush-Yds-TDs,18-70-0,24-62-1
Cmp-Att-Yd-TD-INT,27-48-291-1-1,22-34-281-1-0
Sacked-Yards,4-38,4-30
Net Pass Yards,253,251
Total Yards,323,313
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,5-33,4-45
Third Down Conv.,6-15,3-12
Fourth Down Conv.,1-2,0-0
Time of Possession,30:41,29:19
