Unnamed: 0,NWE,BUF
First Downs,11,16
Rush-Yds-TDs,46-222-1,25-99-0
Cmp-Att-Yd-TD-INT,2-3-19-0-0,15-30-145-1-0
Sacked-Yards,0-0,2-14
Net Pass Yards,19,131
Total Yards,241,230
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,6-47,3-20
Third Down Conv.,2-12,4-13
Fourth Down Conv.,1-2,0-1
Time of Possession,32:01,27:59
