Unnamed: 0,MIA,CHI
First Downs,17,20
Rush-Yds-TDs,35-161-0,28-103-0
Cmp-Att-Yd-TD-INT,16-32-137-3-2,18-42-210-1-3
Sacked-Yards,0-0,3-21
Net Pass Yards,137,189
Total Yards,298,292
Fumbles-Lost,0-0,4-3
Turnovers,2,6
Penalties-Yards,11-69,7-45
Third Down Conv.,7-17,5-16
Fourth Down Conv.,0-0,0-2
Time of Possession,29:54,30:06
