Unnamed: 0,JAX,NYG
First Downs,26,17
Rush-Yds-TDs,34-207-2,26-135-0
Cmp-Att-Yd-TD-INT,20-35-162-0-1,14-24-226-2-0
Sacked-Yards,4-41,0-0
Net Pass Yards,121,226
Total Yards,328,361
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,3-20,4-25
Third Down Conv.,10-16,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,35:27,24:33
