Quarter,Time,Tm,Detail,JAX,NYG
1.0,9:06,Giants,Lawrence Tynes 22 yard field goal,0,3
,4:44,Jaguars,Rashad Jennings 5 yard rush (Josh Scobee kick),7,3
2.0,9:11,Jaguars,Josh Scobee 22 yard field goal,10,3
,5:34,Giants,Lawrence Tynes 29 yard field goal,10,6
,0:19,Jaguars,David Garrard 5 yard rush (Josh Scobee kick),17,6
3.0,10:19,Giants,Lawrence Tynes 28 yard field goal,17,9
4.0,13:42,Giants,Mario Manningham 26 yard pass from Eli Manning (Ahmad Bradshaw run),17,17
,8:26,Jaguars,Josh Scobee 42 yard field goal,20,17
,3:15,Giants,Kevin Boss 32 yard pass from Eli Manning (Lawrence Tynes kick),20,24
