Quarter,Time,Tm,Detail,ATL,CHI
2.0,10:16,Falcons,Todd Peterson 30 yard field goal,3,0
,6:33,Bears,Robbie Gould 35 yard field goal,3,3
,3:20,Bears,Robbie Gould 29 yard field goal,3,6
3.0,8:17,Bears,Thomas Jones 1 yard rush (Robbie Gould kick),3,13
,0:53,Bears,Robbie Gould 39 yard field goal,3,16
