Quarter,Time,Tm,Detail,MIA,LAC
1.0,7:07,Dolphins,Cody Parkey 30 yard field goal,3,0
2.0,13:41,Chargers,Younghoe Koo 41 yard field goal,3,3
,5:01,Chargers,Melvin Gordon 1 yard rush (Younghoe Koo kick),3,10
3.0,12:07,Dolphins,Kenny Stills 29 yard pass from Jay Cutler (Cody Parkey kick),10,10
,8:18,Chargers,Antonio Gates 7 yard pass from Philip Rivers (Younghoe Koo kick),10,17
,2:43,Dolphins,Cody Parkey 28 yard field goal,13,17
4.0,6:28,Dolphins,Cody Parkey 35 yard field goal,16,17
,1:05,Dolphins,Cody Parkey 54 yard field goal,19,17
