Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Jason Baker kicks off 70 yards, returned by Troy Williamson for 29 yards (tackle by Karl Hankton)",0.000,0.870
1,14:55,1,10,MIN 29,0,0,"Brad Johnson pass incomplete intended for Travis Taylor. Penalty on Kris Jenkins: Defensive Offside, 5 yards (no play)",0.870,1.600
1,14:51,1,5,MIN 34,0,0,Chester Taylor left end for -2 yards (tackle by Chris Draft and Mike Minter),1.600,0.730
1,14:08,2,7,MIN 32,0,0,Chester Taylor middle for 14 yards (tackle by Shaun Williams and Mike Minter),0.730,1.990
1,13:30,1,10,MIN 46,0,0,Chester Taylor middle for 3 yards (tackle by Chris Gamble),1.990,1.860
1,12:54,2,7,MIN 49,0,0,Chester Taylor left end for 6 yards (tackle by Mike Minter),1.860,1.950
1,12:11,3,1,CAR 45,0,0,Chester Taylor left tackle for no gain (tackle by Chris Draft),1.950,0.270
1,11:30,4,1,CAR 45,0,0,Chester Taylor right guard for 2 yards (tackle by Chris Gamble),0.270,2.720
1,10:47,1,10,CAR 43,0,0,Brad Johnson pass complete deep right to Travis Taylor for 36 yards (tackle by Chris Gamble),2.720,5.600
1,10:20,1,7,CAR 7,0,0,"Chester Taylor right tackle for 6 yards. Penalty on Artis Hicks: Offensive Holding, 10 yards (no play)",5.600,4.260
1,9:56,1,17,CAR 17,0,0,Artose Pinner left end for 2 yards (tackle by Julius Peppers),4.260,3.460
1,9:08,2,15,CAR 15,0,0,Brad Johnson pass complete short left to Jim Kleinsasser for 7 yards (tackle by Thomas Davis),3.460,3.580
1,8:35,3,8,CAR 8,0,0,Brad Johnson pass incomplete intended for Travis Taylor,3.580,2.950
1,8:35,4,8,CAR 8,0,3,Ryan Longwell 26 yard field goal good,2.950,3.000
1,,,,MIN 30,0,3,"Ryan Longwell kicks off 73 yards, touchback",0.000,0.280
1,8:28,1,10,CAR 20,0,3,Jake Delhomme pass complete short left to Drew Carter for 5 yards (tackle by Fred Smoot),0.280,0.410
1,7:52,2,5,CAR 25,0,3,DeShaun Foster left tackle for 1 yard (tackle by Pat Williams),0.410,-0.160
1,7:10,3,4,CAR 26,0,3,Jake Delhomme pass complete short right to DeShaun Foster for 12 yards (tackle by Napoleon Harris),-0.160,1.470
1,6:27,1,10,CAR 38,0,3,DeShaun Foster left guard for 4 yards (tackle by Kevin Williams and Napoleon Harris),1.470,1.460
1,5:48,2,6,CAR 42,0,3,DeShaun Foster left tackle for -2 yards (tackle by Antoine Winfield),1.460,0.500
1,5:04,3,8,CAR 40,0,3,Jake Delhomme pass incomplete short left intended for DeShaun Foster,0.500,-0.720
1,4:59,4,8,CAR 40,0,3,"Jason Baker punts 45 yards, fair catch by Mewelde Moore",-0.720,0.220
1,4:51,1,10,MIN 15,0,3,Brad Johnson pass complete short left to Jermaine Wiggins for 12 yards (tackle by Chris Draft),-0.220,0.740
1,4:09,1,10,MIN 27,0,3,Chester Taylor left tackle for 2 yards (tackle by Shaun Williams and Julius Peppers),0.740,0.470
1,3:29,2,8,MIN 29,0,3,Brad Johnson pass incomplete short right intended for Marcus Robinson (defended by Shaun Williams),0.470,-0.230
1,3:24,3,8,MIN 29,0,3,Brad Johnson sacked by Damione Lewis for -2 yards,-0.230,-1.570
1,2:51,4,10,MIN 27,0,3,"Chris Kluwe punts 50 yards, returned by Chris Gamble for 24 yards (tackle by E.J. Henderson)",-1.570,-2.060
1,2:36,1,10,CAR 47,0,3,Jake Delhomme pass incomplete deep left intended for Drew Carter,2.060,1.520
1,2:31,2,10,CAR 47,0,3,DeShaun Foster middle for 2 yards (tackle by E.J. Henderson),1.520,1.090
1,1:46,3,8,CAR 49,0,3,Jake Delhomme pass incomplete short left intended for DeShaun Foster,1.090,-0.130
1,1:41,4,8,CAR 49,0,3,"Jason Baker punts 51 yards, touchback",-0.130,-0.280
1,1:32,1,10,MIN 20,0,3,Tony Richardson left end for 3 yards (tackle by Thomas Davis),0.280,0.140
1,1:09,2,7,MIN 23,0,3,Chester Taylor right guard for 2 yards (tackle by Chris Draft and Julius Peppers),0.140,-0.300
1,0:29,3,5,MIN 25,0,3,Brad Johnson pass incomplete intended for Marcus Robinson (defended by Julius Peppers),-0.300,-1.700
1,0:25,4,5,MIN 25,0,3,"Chris Kluwe punts 44 yards, fair catch by Chris Gamble",-1.700,-1.000
1,0:16,1,10,CAR 31,0,3,DeAngelo Williams left end for 19 yards (tackle by Ben Leber),1.000,2.260
Quarter,Time,Down,ToGo,Location,CAR,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,0,3,Jake Delhomme pass complete short right to DeAngelo Williams for 16 yards (tackle by Napoleon Harris),2.260,3.310
2,14:18,1,10,MIN 34,0,3,Jake Delhomme pass complete deep right to Keyshawn Johnson for 21 yards (tackle by Darren Sharper and Antoine Winfield),3.310,4.710
2,13:47,1,10,MIN 13,0,3,DeShaun Foster right guard for 4 yards (tackle by Darren Sharper and Kenechi Udeze),4.710,4.770
2,13:05,2,6,MIN 9,0,3,DeShaun Foster right end for 2 yards (tackle by Antoine Winfield),4.770,4.330
2,12:21,3,4,MIN 7,0,3,Jake Delhomme pass incomplete short right intended for Brad Hoover,4.330,2.990
2,12:21,4,4,MIN 7,3,3,John Kasay 25 yard field goal good,2.990,3.000
2,,,,CAR 30,3,3,"John Kasay kicks off 60 yards, returned by Troy Williamson for 22 yards (tackle by Karl Hankton)",0.000,1.070
