Unnamed: 0,CAR,MIN
First Downs,14,17
Rush-Yds-TDs,27-107-1,33-140-0
Cmp-Att-Yd-TD-INT,17-33-181-0-0,20-32-259-1-1
Sacked-Yards,2-17,5-34
Net Pass Yards,164,225
Total Yards,271,365
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,6-32,9-54
Third Down Conv.,3-14,2-15
Fourth Down Conv.,0-0,3-3
Time of Possession,29:55,37:40
