Quarter,Time,Tm,Detail,CAR,MIN
1,8:28,Vikings,Ryan Longwell 26 yard field goal,0,3
2,12:12,Panthers,John Kasay 25 yard field goal,3,3
,5:25,Vikings,Ryan Longwell 22 yard field goal,3,6
,0:17,Panthers,DeAngelo Williams 3 yard rush (John Kasay kick),10,6
3,2:51,Panthers,John Kasay 26 yard field goal,13,6
4,7:48,Vikings,Richard Owens 16 yard pass from Ryan Longwell (Ryan Longwell kick),13,13
OT,7:25,Vikings,Ryan Longwell 19 yard field goal,13,16
