Unnamed: 0,ARI,DET
First Downs,24,19
Rush-Yds-TDs,18-45-1,27-82-0
Cmp-Att-Yd-TD-INT,27-48-268-1-3,29-41-292-4-1
Sacked-Yards,1-5,1-7
Net Pass Yards,263,285
Total Yards,308,367
Fumbles-Lost,2-1,1-0
Turnovers,4,1
Penalties-Yards,6-55,10-100
Third Down Conv.,6-15,8-16
Fourth Down Conv.,1-1,0-1
Time of Possession,26:40,33:20
