Quarter,Time,Tm,Detail,OAK,MIA
1.0,6:52,Dolphins,Ted Ginn Jr. 40 yard rush (Dan Carpenter kick),0,7
2.0,1:09,Raiders,Sebastian Janikowski 21 yard field goal,3,7
3.0,10:28,Raiders,"Safety, Chad Pennington sacked in end zone by Jay Richardson.",5,7
,1:57,Dolphins,Patrick Cobbs 10 yard rush (Dan Carpenter kick),5,14
4.0,8:02,Raiders,Sebastian Janikowski 37 yard field goal,8,14
,4:30,Raiders,Johnnie Lee Higgins 93 yard punt return (Sebastian Janikowski kick),15,14
,0:38,Dolphins,Dan Carpenter 38 yard field goal,15,17
