Unnamed: 0,OAK,MIA
First Downs,11,20
Rush-Yds-TDs,21-70-0,35-222-2
Cmp-Att-Yd-TD-INT,15-22-156-0-0,16-22-174-0-0
Sacked-Yards,5-27,3-14
Net Pass Yards,129,160
Total Yards,199,382
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,7-35,3-55
Third Down Conv.,2-11,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,27:26,32:34
