Quarter,Time,Down,ToGo,Location,CLE,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,LaMont Jordan left tackle for 4 yards (tackle by Willie McGinest),0.280,0.270
1,14:24,2,6,OAK 24,0,0,Andrew Walter pass incomplete short middle intended for Alvis Whitted,0.270,-0.430
1,14:19,3,6,OAK 24,0,0,Andrew Walter pass complete short left to Ronald Curry for 7 yards (tackle by Leigh Bodden),-0.430,1.000
1,13:45,1,10,OAK 31,0,0,LaMont Jordan left end for 8 yards (tackle by Orpheus Roye),1.000,1.540
1,13:15,2,2,OAK 39,0,0,"Penalty on Courtney Anderson: False Start, 5 yards (no play)",1.540,0.870
1,12:51,2,7,OAK 34,0,0,Andrew Walter pass incomplete short middle intended for Randal Williams,0.870,0.170
1,12:51,3,7,OAK 34,0,0,Andrew Walter pass complete short middle to Courtney Anderson for 8 yards (tackle by Brodney Pool),0.170,1.730
1,12:16,1,10,OAK 42,0,0,LaMont Jordan left tackle for no gain (tackle by Andra Davis and Sean Jones),1.730,1.190
1,11:43,2,10,OAK 42,0,0,LaMont Jordan middle for 4 yards (tackle by Ethan Kelley),1.190,1.030
1,11:05,3,6,OAK 46,0,0,Andrew Walter sacked by Simon Fraser for -2 yards,1.030,-0.460
1,10:31,4,8,OAK 44,0,0,"Shane Lechler punts 42 yards, fair catch by Dennis Northcutt",-0.460,0.280
1,10:27,1,10,CLE 14,0,0,Reuben Droughns right end for 7 yards (tackle by Stuart Schweigert and Warren Sapp),-0.280,0.280
1,9:45,2,3,CLE 21,0,0,Reuben Droughns middle for -1 yards (tackle by Derrick Burgess),0.280,-0.680
1,9:02,3,4,CLE 20,0,0,"Charlie Frye pass complete short right to Kellen Winslow for 5 yards (tackle by Michael Huff). Penalty on Lance Johnstone: Defensive Offside, 5 yards (no play)",-0.680,0.610
1,8:38,1,10,CLE 25,0,0,Reuben Droughns left guard for 5 yards (tackle by Kirk Morrison),0.610,0.740
1,8:03,2,5,CLE 30,0,6,"Reuben Droughns middle for no gain (tackle by Tyler Brayton). Reuben Droughns fumbles (forced by Tyler Brayton), recovered by Sam Williams at CLE-30 and returned for 30 yards, touchdown. Penalty on Kevin Shaffer: Illegal Formation (Declined)",0.740,-7.000
1,,,,CLE 2,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,0,7,"Sebastian Janikowski kicks off 52 yards, returned by Darnell Dinkins for 10 yards (tackle by Robert Thomas)",0.000,0.810
1,7:46,1,10,CLE 28,0,7,Charlie Frye pass complete deep middle to Braylon Edwards for 19 yards (tackle by Fabian Washington). Penalty on Tommy Kelly: Illegal Use of Hands (Declined),0.810,2.060
1,7:20,1,10,CLE 47,0,7,Charlie Frye pass incomplete short right intended for Dennis Northcutt,2.060,1.520
1,7:14,2,10,CLE 47,0,7,Reuben Droughns middle for 4 yards (tackle by Warren Sapp),1.520,1.360
1,6:31,3,6,OAK 49,0,7,Charlie Frye pass incomplete (defended by Fabian Washington),1.360,0.000
1,6:26,4,6,OAK 49,0,7,Dave Zastudil punts 39 yards,0.000,0.380
1,6:16,1,10,OAK 10,0,7,LaMont Jordan left tackle for 2 yards (tackle by Andra Davis and Alvin McKinley),-0.380,-0.630
1,5:35,2,8,OAK 12,0,7,Andrew Walter pass incomplete short left intended for Randal Williams,-0.630,-1.190
1,5:28,3,8,OAK 12,0,7,Andrew Walter pass complete short left to LaMont Jordan for 10 yards (tackle by Orpheus Roye),-1.190,0.410
1,4:44,1,10,OAK 22,0,7,LaMont Jordan middle for -2 yards (tackle by Willie McGinest),0.410,-0.400
1,4:07,2,12,OAK 20,0,7,Andrew Walter pass incomplete deep right intended for Randy Moss (defended by Sean Jones),-0.400,-1.090
1,3:57,3,12,OAK 20,0,7,"Andrew Walter pass incomplete deep left intended for Alvis Whitted. Penalty on Brian Russell: Defensive Holding, 5 yards (no play)",-1.090,0.610
1,3:51,1,10,OAK 25,0,7,LaMont Jordan left end for no gain (tackle by Sean Jones),0.610,0.060
1,3:15,2,10,OAK 25,0,7,Andrew Walter pass incomplete short middle intended for Randal Williams. Penalty on Robert Gallery: Offensive Holding (Declined),0.060,-0.620
1,3:10,3,10,OAK 25,0,7,Andrew Walter pass incomplete deep right intended for Randy Moss,-0.620,-1.700
1,3:04,4,10,OAK 25,0,7,"Shane Lechler punts 51 yards, returned by Dennis Northcutt for 14 yards (tackle by Stuart Schweigert)",-1.700,-1.470
