Quarter,Time,Tm,Detail,CLE,OAK
1.0,7:50,Raiders,Sam Williams 30 yard defensive fumble return (Sebastian Janikowski kick),0,7
2.0,10:16,Raiders,Randy Moss 5 yard pass from Andrew Walter (Sebastian Janikowski kick),0,14
,5:08,Browns,Phil Dawson 28 yard field goal,3,14
,4:08,Raiders,LaMont Jordan 59 yard rush (Sebastian Janikowski kick),3,21
,0:58,Browns,Darnell Dinkins 3 yard pass from Charlie Frye (Phil Dawson kick),10,21
3.0,8:03,Browns,Kellen Winslow 2 yard pass from Charlie Frye (Phil Dawson kick),17,21
,1:40,Browns,Joe Jurevicius 5 yard pass from Charlie Frye (Phil Dawson kick),24,21
