Quarter,Time,Down,ToGo,Location,GNB,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 64 yards, returned by Chad Morton for 29 yards (tackle by Michael Hawthorne)",0.000,1.270
1,14:54,1,10,WAS 35,0,0,Clinton Portis right end for 5 yards (tackle by Na'il Diggs),1.270,1.400
1,14:10,2,5,WAS 40,0,0,Rod Gardner right end for 6 yards (tackle by Al Harris),1.400,1.990
1,13:43,1,10,WAS 46,0,0,Mark Brunell pass complete to Laveranues Coles for 7 yards (tackle by Bhawoh Jue),1.990,2.400
1,12:56,2,3,GNB 47,0,0,Mark Brunell pass complete to Taylor Jacobs for 9 yards (tackle by Al Harris),2.400,3.050
1,12:13,1,10,GNB 38,0,0,Clinton Portis right tackle for 4 yards (tackle by Nick Barnett),3.050,3.050
1,11:38,2,6,GNB 34,0,0,Rod Gardner pass incomplete intended for Clinton Portis,3.050,2.340
1,11:30,3,6,GNB 34,0,0,Mark Brunell pass incomplete intended for Taylor Jacobs,2.340,1.070
1,11:23,4,6,GNB 34,0,0,"Tom Tupa punts 22 yards, fair catch by Antonio Chatman",1.070,0.350
1,11:17,1,10,GNB 12,0,0,Ahman Green right end for 4 yards (tackle by Antonio Pierce and Shawn Springs),-0.350,-0.370
1,10:43,2,6,GNB 16,0,0,"Ahman Green up the middle for no gain (tackle by Antonio Pierce). Penalty on Grey Ruegamer: Offensive Holding, 8 yards (no play)",-0.370,-1.070
1,10:18,2,14,GNB 8,0,0,"Ahman Green left end for no gain (tackle by Fred Smoot). Penalty on Fred Smoot: Tripping, 10 yards",-1.070,0.040
1,9:56,1,10,GNB 18,0,0,Brett Favre pass complete to Donald Driver for 7 yards (tackle by Shawn Springs),0.040,0.550
1,9:27,2,3,GNB 25,0,0,Najeh Davenport left end for no gain (tackle by Marcus Washington),0.550,-0.270
1,8:43,3,3,GNB 25,0,0,Brett Favre pass complete to Tony Fisher for 3 yards (tackle by Ryan Clark),-0.270,0.810
1,8:14,1,10,GNB 28,0,0,Brett Favre pass complete to William Henderson for 7 yards (tackle by Lemar Marshall),0.810,1.210
1,7:47,2,3,GNB 35,0,0,Brett Favre pass complete to Donald Driver for 41 yards (tackle by Shawn Springs),1.210,3.970
1,7:02,1,10,WAS 24,0,0,Ahman Green right tackle for 5 yards (tackle by Joe Salave'a and Demetric Evans),3.970,4.120
1,6:24,2,5,WAS 19,0,0,Brett Favre pass incomplete intended for Javon Walker (defended by Fred Smoot),4.120,3.410
1,6:18,3,5,WAS 19,0,0,Brett Favre pass complete to Ahman Green for no gain,3.410,2.240
1,6:00,4,5,WAS 19,3,0,Ryan Longwell 37 yard field goal good,2.240,3.000
1,,,,GNB 30,3,0,"Ryan Longwell kicks off 60 yards, returned by Chad Morton for 28 yards (tackle by Bhawoh Jue). Penalty on Lemar Marshall: Offensive Holding, 10 yards",0.000,-0.060
1,5:49,1,10,WAS 17,3,0,Mark Brunell up the middle for 5 yards (tackle by Hannibal Navies),-0.060,0.210
1,5:17,2,5,WAS 22,3,0,Clinton Portis right end for 4 yards (tackle by James Lee),0.210,-0.120
1,4:32,3,1,WAS 26,3,0,Clinton Portis right guard for 4 yards (tackle by Na'il Diggs),-0.120,0.940
