Unnamed: 0,GNB,WAS
First Downs,20,20
Rush-Yds-TDs,28-88-2,19-81-0
Cmp-Att-Yd-TD-INT,20-32-289-1-3,25-45-218-2-2
Sacked-Yards,1-16,4-27
Net Pass Yards,273,191
Total Yards,361,272
Fumbles-Lost,2-1,0-0
Turnovers,4,2
Penalties-Yards,9-73,10-82
Third Down Conv.,6-13,1-10
Fourth Down Conv.,0-0,1-1
Time of Possession,29:43,30:17
