Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Sebastian Janikowski kicks off 66 yards, returned by Blake Countess for no gain (tackle by Maurice Alexander)",0.000,1.530
1,14:53,1,10,LAR 39,0,0,Todd Gurley up the middle for 2 yards (tackle by Jarran Reed),1.530,1.260
1,14:19,2,8,LAR 41,0,0,Jared Goff pass complete short right to Cooper Kupp for 4 yards (tackle by Shaquill Griffin),1.260,1.090
1,13:45,3,4,LAR 45,0,0,"Jared Goff for no gain (tackle by Frank Clark). Jared Goff fumbles (forced by Frank Clark), recovered by Jared Goff at LA-36 Jared Goff pass incomplete short middle intended for Robert Woods",1.090,-0.390
1,13:38,4,4,LAR 45,0,0,"Johnny Hekker punts 38 yards, returned by Tyler Lockett for -3 yards (tackle by Samson Ebukam)",-0.390,0.280
1,13:29,1,10,SEA 14,0,0,Chris Carson left end for 3 yards (tackle by Cory Littleton),-0.280,-0.370
1,12:51,2,7,SEA 17,0,0,Russell Wilson pass complete short left to Doug Baldwin for 1 yard,-0.370,-0.920
1,12:10,3,6,SEA 18,0,0,Russell Wilson pass incomplete deep right,-0.920,-2.240
1,12:03,4,6,SEA 18,0,0,"Michael Dickson punts 5 yards, returned by Marqui Christian for 11 yards (tackle by Jacob Martin)",-2.240,-4.780
1,11:57,1,10,SEA 12,0,0,Todd Gurley up the middle for 2 yards (tackle by Jarran Reed),4.780,4.450
1,11:18,2,8,SEA 10,0,0,"Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Tedric Thompson). Penalty on Justin Coleman: Illegal Contact, 5 yards (no play)",4.450,6.060
1,11:00,1,5,SEA 5,0,0,Todd Gurley right guard for 3 yards (tackle by Bobby Wagner),6.060,5.720
1,10:27,2,2,SEA 2,0,0,Jared Goff pass short middle (defended by Tre Flowers) intended for Todd Gurley is intercepted by Frank Clark at SEA-0 and returned for 26 yards,5.720,-0.670
1,10:15,1,10,SEA 26,0,0,Chris Carson right guard for 6 yards (tackle by Marcus Peters and Lamarcus Joyner),0.670,0.940
1,9:39,2,4,SEA 32,0,0,Chris Carson left guard for 5 yards (tackle by Ndamukong Suh),0.940,1.400
1,9:00,1,10,SEA 37,0,0,Tyler Lockett left end for 6 yards (tackle by Michael Brockers),1.400,1.670
1,8:21,2,4,SEA 43,0,0,Russell Wilson pass complete short right to Mike Davis for 9 yards (tackle by Lamarcus Joyner),1.670,2.390
1,7:48,1,10,LAR 48,0,0,Russell Wilson pass complete short middle to Nick Vannett for 32 yards (tackle by Troy Hill),2.390,4.510
1,7:03,1,10,LAR 16,0,0,"Chris Carson up the middle for no gain (tackle by Ethan Westbrooks). Penalty on Nick Vannett: Offensive Holding, 10 yards (no play)",4.510,3.840
1,6:36,1,20,LAR 26,0,0,Chris Carson up the middle for 16 yards (tackle by Lamarcus Joyner and Nickell Robey-Coleman),3.840,4.970
1,5:53,2,4,LAR 10,0,0,Chris Carson right guard for 2 yards (tackle by Ndamukong Suh and John Johnson),4.970,4.620
1,5:11,3,2,LAR 8,0,0,Mike Davis up the middle for 2 yards (tackle by Cory Littleton and Michael Brockers),4.620,5.830
1,4:32,1,6,LAR 6,0,6,"Mike Davis up the middle for 6 yards, touchdown",5.830,7.000
1,4:30,,,LAR 15,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,4:30,,,SEA 35,0,7,"Sebastian Janikowski kicks off 58 yards, returned by Blake Countess for no gain (tackle by Jaron Brown and Maurice Alexander)",0.000,1.730
1,4:24,1,10,LAR 42,0,7,Jared Goff pass complete deep left to Cooper Kupp for 27 yards (tackle by Bradley McDougald),1.730,3.510
1,3:47,1,10,SEA 31,0,7,Jared Goff pass complete short left to Todd Gurley for -6 yards (tackle by Branden Jackson),3.510,2.160
1,3:04,2,16,SEA 37,0,7,Jared Goff pass complete short left to Todd Gurley for 19 yards (tackle by Bradley McDougald),2.160,4.370
1,2:30,1,10,SEA 18,0,7,Todd Gurley left tackle for 16 yards (tackle by Tre Flowers and Justin Coleman),4.370,6.740
1,2:03,1,2,SEA 2,6,7,"Todd Gurley up the middle for 2 yards, touchdown",6.740,7.000
1,2:00,,,SEA 15,7,7,Cairo Santos kicks extra point good,0.000,0.000
1,2:00,,,LAR 35,7,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,2:00,1,10,SEA 25,7,7,Russell Wilson sacked by Aaron Donald for -7 yards,0.610,-0.980
1,1:21,2,17,SEA 18,7,7,"Russell Wilson pass complete short left to David Moore for 5 yards (tackle by Troy Hill). Penalty on Troy Hill: Unnecessary Roughness, 15 yards",-0.980,1.470
1,1:03,1,10,SEA 38,7,7,Chris Carson up the middle for 3 yards (tackle by Mark Barron and Cory Littleton),1.470,1.330
1,0:33,2,7,SEA 41,7,7,Chris Carson right guard for 4 yards (tackle by John Johnson and Mark Barron),1.330,1.160
Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,SEA 45,7,7,Russell Wilson pass incomplete short left intended for David Moore (defended by Sam Shields),1.160,-0.390
2,14:56,4,3,SEA 45,7,7,"Michael Dickson punts 55 yards, touchback.",-0.390,-0.280
2,14:48,1,10,LAR 20,7,7,Todd Gurley left tackle for 5 yards (tackle by Poona Ford),0.280,0.410
2,14:17,2,5,LAR 25,7,7,Jared Goff pass incomplete deep left intended for Cooper Kupp,0.410,-0.300
2,14:10,3,5,LAR 25,7,7,Jared Goff pass complete short middle to Robert Woods for 31 yards (tackle by Tre Flowers),-0.300,2.650
2,13:29,1,10,SEA 44,7,7,"Jared Goff pass complete short middle to Cooper Kupp for 25 yards (tackle by Tedric Thompson). Penalty on Quinton Jefferson: Roughing the Passer, 10 yards",2.650,5.140
2,13:00,1,9,SEA 9,7,7,Todd Gurley right end for no gain (tackle by Bradley McDougald),5.140,4.380
2,12:16,2,9,SEA 9,7,7,Jared Goff pass complete short middle to Todd Gurley for 8 yards (tackle by Tedric Thompson),4.380,5.170
2,11:59,3,1,SEA 1,7,7,Todd Gurley left guard for no gain (tackle by Tedric Thompson and Bobby Wagner),5.170,3.550
2,11:16,4,1,SEA 1,10,7,Cairo Santos 19 yard field goal good,3.550,3.000
2,11:13,,,LAR 35,10,7,"Cairo Santos kicks off 57 yards, returned by Tyler Lockett for no gain (tackle by Josh Reynolds)",0.000,2.260
2,11:05,1,10,SEA 50,10,7,Chris Carson up the middle for 1 yard (tackle by Cory Littleton and Samson Ebukam),2.260,1.850
2,10:36,2,9,LAR 49,10,7,Chris Carson right tackle for 2 yards (tackle by Samson Ebukam and Michael Brockers),1.850,1.420
2,9:54,,,,,,Timeout #1 by Seattle Seahawks,,
2,9:54,3,7,LAR 47,10,7,Russell Wilson pass complete short middle to Nick Vannett for 8 yards (tackle by Marcus Peters),1.420,2.980
2,9:19,1,10,LAR 39,10,13,"Russell Wilson pass complete deep left to Tyler Lockett for 39 yards, touchdown",2.980,7.000
2,9:11,,,LAR 15,10,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,9:11,,,SEA 35,10,14,"Michael Dickson kicks off 49 yards, returned by Matt Longacre for no gain (tackle by Neiko Thorpe)",0.000,0.940
2,9:06,1,10,LAR 30,10,14,Jared Goff pass complete short right to Todd Gurley for 15 yards (tackle by Bobby Wagner),0.940,1.930
2,8:44,1,10,LAR 45,10,14,Jared Goff pass complete short left to Cooper Kupp for 17 yards (tackle by Tre Flowers),1.930,3.050
2,7:56,,,,,,Timeout #1 by Los Angeles Rams,,
2,7:56,1,10,SEA 38,10,14,Jared Goff pass complete short middle to Tyler Higbee for 17 yards (tackle by Tedric Thompson),3.050,4.170
2,7:17,1,10,SEA 21,10,14,Jared Goff pass incomplete deep right intended for Cooper Kupp,4.170,3.630
2,7:12,2,10,SEA 21,10,14,Jared Goff pass incomplete short middle intended for Robert Woods,3.630,2.940
2,7:07,3,10,SEA 21,10,14,Jared Goff right end for 12 yards (tackle by Justin Coleman),2.940,5.140
2,6:29,1,9,SEA 9,10,14,Todd Gurley left tackle for 3 yards (tackle by Bobby Wagner and Jarran Reed),5.140,4.950
2,6:08,2,6,SEA 6,16,14,"Jared Goff pass complete short right to Cooper Kupp for 6 yards, touchdown",4.950,7.000
2,6:02,,,SEA 15,17,14,Cairo Santos kicks extra point good,0.000,0.000
2,6:02,,,LAR 35,17,14,"Cairo Santos kicks off 44 yards, returned by David Moore for no gain (tackle by Ramik Wilson)",0.000,1.530
2,5:57,1,10,SEA 39,17,14,Chris Carson up the middle for 3 yards (tackle by Ethan Westbrooks and Matt Longacre),1.530,1.390
2,5:20,2,7,SEA 42,17,14,"Russell Wilson sacked by Matt Longacre for no gain. Penalty on Marcus Peters: Defensive Holding, 5 yards (no play)",1.390,2.060
2,4:56,1,10,SEA 47,17,14,Chris Carson right tackle for no gain (tackle by Mark Barron),2.060,1.520
2,4:13,2,10,SEA 47,17,14,Russell Wilson pass incomplete deep left intended for Brandon Marshall (defended by Troy Hill),1.520,0.830
2,4:07,3,10,SEA 47,17,14,Russell Wilson pass complete short right to Tyler Lockett for 15 yards (tackle by Marqui Christian and Marcus Peters),0.830,3.050
2,3:35,,,,,,Timeout #2 by Los Angeles Rams,,
2,3:35,1,10,LAR 38,17,14,Mike Davis left tackle for 6 yards (tackle by Matt Longacre),3.050,3.320
2,2:57,2,4,LAR 32,17,14,Mike Davis up the middle for no gain (tackle by Aaron Donald and Matt Longacre),3.320,2.610
2,2:10,,,,,,Timeout #2 by Seattle Seahawks,,
2,2:10,3,4,LAR 32,17,14,Russell Wilson pass complete short right to Mike Davis for -2 yards (tackle by Nickell Robey-Coleman),2.610,1.070
2,2:00,4,6,LAR 34,17,17,Sebastian Janikowski 52 yard field goal good,1.070,3.000
