Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cooper Kupp,LAR,9,6,90,1,5,35,5.8,55,9.2,14.0,0,,0,0.0,1,96.8
Robert Woods,LAR,7,5,92,0,5,37,7.4,55,11.0,7.9,0,,0,0.0,0,113.7
Todd Gurley,LAR,5,4,36,0,2,-13,-3.3,49,12.3,-2.2,1,4.0,0,0.0,1,57.1
Gerald Everett,LAR,3,3,24,0,,18,6.0,6,2.0,6.0,0,,0,0.0,0,100.0
Tyler Higbee,LAR,4,2,26,0,1,12,6.0,14,7.0,4.3,0,,1,25.0,0,70.8
Josh Reynolds,LAR,3,2,39,0,2,36,18.0,3,1.5,17.3,0,,0,0.0,0,109.7
KhaDarel Hodge,LAR,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyler Lockett,SEA,4,3,98,1,3,94,31.3,4,1.3,23.5,0,,0,0.0,0,156.2
David Moore,SEA,4,3,38,2,2,37,12.3,1,0.3,9.5,0,,0,0.0,0,143.7
Nick Vannett,SEA,4,3,43,0,2,8,2.7,35,11.7,6.0,0,,0,0.0,0,109.4
Mike Davis,SEA,2,2,7,0,1,-2,-1.0,9,4.5,-1.0,0,,0,0.0,0,81.2
Doug Baldwin,SEA,1,1,1,0,,1,1.0,0,0.0,1.0,0,,0,0.0,0,79.2
Chris Carson,SEA,1,1,11,0,1,1,1.0,10,10.0,1.0,0,,0,0.0,0,112.5
Darrell Daniels,SEA,1,0,0,0,,0,,0,,21.0,0,,0,0.0,0,39.6
Tre Madden,SEA,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
Brandon Marshall,SEA,1,0,0,0,,0,,0,,30.0,0,,0,0.0,0,39.6
