Unnamed: 0,MIA,JAX
First Downs,16,22
Rush-Yds-TDs,24-91-1,30-88-1
Cmp-Att-Yd-TD-INT,14-27-147-0-1,24-42-256-0-3
Sacked-Yards,1-4,4-12
Net Pass Yards,143,244
Total Yards,234,332
Fumbles-Lost,2-1,5-2
Turnovers,2,5
Penalties-Yards,11-149,7-50
Third Down Conv.,4-10,8-17
Fourth Down Conv.,0-0,0-3
Time of Possession,27:06,32:54
