Quarter,Time,Tm,Detail,MIA,JAX
1.0,10:33,Dolphins,Ricky Williams 14 yard rush (Olindo Mare kick),7,0
,3:12,Dolphins,Olindo Mare 51 yard field goal,10,0
2.0,11:24,Jaguars,Seth Marler 20 yard field goal,10,3
3.0,1:07,Jaguars,Byron Leftwich 8 yard rush (Seth Marler kick),10,10
4.0,11:29,Dolphins,Randy McMichael 2 yard offensive fumble return (Olindo Mare kick),17,10
,1:28,Dolphins,Sam Madison 29 yard interception return (Olindo Mare kick),24,10
