Unnamed: 0,BUF,BAL
First Downs,15,12
Rush-Yds-TDs,23-85-0,33-100-1
Cmp-Att-Yd-TD-INT,20-37-203-0-4,10-19-86-0-0
Sacked-Yards,4-18,4-26
Net Pass Yards,185,60
Total Yards,270,160
Fumbles-Lost,1-1,1-1
Turnovers,5,1
Penalties-Yards,5-40,4-25
Third Down Conv.,6-16,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:52,29:08
