Quarter,Time,Tm,Detail,BUF,BAL
1.0,11:11,Bills,Rian Lindell 24 yard field goal,3,0
,4:23,Ravens,Matt Stover 24 yard field goal,3,3
,1:25,Ravens,Deion Sanders 48 yard interception return (Matt Stover kick),3,10
2.0,10:13,Ravens,B.J. Sams 5 yard rush (Matt Stover kick),3,17
3.0,7:43,Bills,Rian Lindell 21 yard field goal,6,17
4.0,4:42,Ravens,Matt Stover 19 yard field goal,6,20
