Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,A.J. Feeley pass incomplete short right intended for Steven Jackson,0.280,-0.270
1,14:54,2,10,STL 20,0,0,A.J. Feeley pass complete short left to Steven Jackson for 15 yards (tackle by Tracy Porter),-0.270,1.270
1,14:28,1,10,STL 35,0,0,Steven Jackson right end for 9 yards (tackle by Malcolm Jenkins),1.270,1.940
1,13:45,2,1,STL 44,0,0,Steven Jackson right tackle for 2 yards (tackle by Jo-Lonn Dunbar),1.940,1.990
1,13:07,1,10,STL 46,0,0,A.J. Feeley pass incomplete deep left intended for Brandon Lloyd (defended by Malcolm Jenkins),1.990,1.450
1,13:00,2,10,STL 46,0,0,A.J. Feeley pass incomplete deep middle intended for Brandon Lloyd,1.450,0.760
1,12:54,3,10,STL 46,0,0,A.J. Feeley pass incomplete short left intended for Brandon Gibson,0.760,-0.320
1,12:52,4,10,STL 46,0,0,Donnie Jones punts 39 yards,-0.320,0.220
1,12:42,1,10,NOR 15,0,0,Drew Brees pass complete short left to Jimmy Graham for 13 yards (tackle by Al Harris),-0.220,0.810
1,12:12,1,10,NOR 28,0,0,Pierre Thomas left end for 7 yards (tackle by James Hall),0.810,1.210
1,11:25,2,3,NOR 35,0,0,Drew Brees pass incomplete deep left intended for Devery Henderson,1.210,0.500
1,11:19,3,3,NOR 35,0,0,Drew Brees pass complete short left to Lance Moore for 6 yards (tackle by Quintin Mikell),0.500,1.660
1,10:47,1,10,NOR 41,0,0,Chris Ivory left end for 2 yards (tackle by James Laurinaitis),1.660,1.390
1,10:09,2,8,NOR 43,0,0,Drew Brees pass incomplete short middle intended for Lance Moore (defended by James Laurinaitis),1.390,0.700
1,10:04,3,8,NOR 43,0,0,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Al Harris),0.700,-0.520
1,10:00,4,8,NOR 43,0,0,"Thomas Morstead punts 37 yards, fair catch by Austin Pettis",-0.520,-0.280
1,9:51,1,10,STL 20,0,0,A.J. Feeley sacked by Will Smith for -9 yards,0.280,-1.440
1,9:17,2,19,STL 11,0,0,Steven Jackson left tackle for -4 yards (tackle by Jonathan Vilma),-1.440,-2.940
1,8:37,3,23,STL 7,0,0,Steven Jackson right end for 9 yards (tackle by Roman Harper),-2.940,-2.390
1,7:59,4,14,STL 16,0,0,Donnie Jones punts 42 yards,-2.390,-1.730
1,7:50,1,10,NOR 42,0,0,Darren Sproles right end for -2 yards (tackle by Fred Robbins),1.730,0.920
1,7:18,2,12,NOR 40,0,0,Chris Ivory right tackle for 5 yards (tackle by James Laurinaitis),0.920,0.890
1,6:32,3,7,NOR 45,0,0,Drew Brees pass complete short middle to Darren Sproles for 19 yards (tackle by Quintin Mikell),0.890,3.180
1,5:50,1,10,STL 36,0,0,Drew Brees sacked by James Laurinaitis for -8 yards,3.180,1.560
1,5:24,2,18,STL 44,0,0,Drew Brees pass complete short right to Pierre Thomas for -4 yards (tackle by Chris Chamberlain),1.560,0.370
1,4:48,3,22,STL 48,0,0,Drew Brees pass complete short left to Lance Moore for 17 yards (tackle by Marquis Johnson),0.370,1.350
1,4:08,4,5,STL 31,0,0,John Kasay 49 yard field goal no good,1.350,-1.530
1,4:03,1,10,STL 39,0,0,A.J. Feeley pass incomplete deep left intended for Michael Hoomanawanui,1.530,0.990
1,3:59,2,10,STL 39,0,0,Steven Jackson left tackle for 8 yards (tackle by Scott Shanle),0.990,1.360
1,3:22,3,2,STL 47,0,0,A.J. Feeley pass complete short left to Brandon Lloyd for 6 yards (tackle by Tracy Porter),1.360,2.460
1,2:47,1,10,NOR 47,0,0,Steven Jackson right end for 1 yard (tackle by Shaun Rogers),2.460,2.050
1,2:10,2,9,NOR 46,0,0,A.J. Feeley pass incomplete short right intended for Lance Kendricks,2.050,1.350
1,2:06,3,9,NOR 46,0,0,A.J. Feeley pass incomplete short left intended for Brandon Lloyd (defended by Jonathan Casillas),1.350,0.200
1,2:02,4,9,NOR 46,0,0,"Donnie Jones punts 34 yards, returned by Darren Sproles for 4 yards (tackle by Chris Chamberlain)",0.200,0.140
1,1:53,1,10,NOR 16,0,0,Drew Brees pass complete short right to Robert Meachem for 8 yards (tackle by Josh Gordy),-0.140,0.550
1,1:30,2,2,NOR 24,0,0,Pierre Thomas right tackle for 3 yards (tackle by James Laurinaitis),0.550,0.740
1,1:04,1,10,NOR 27,0,0,Drew Brees pass complete short right to Jed Collins for -5 yards (tackle by Chris Chamberlain),0.740,-0.480
1,0:27,2,15,NOR 22,0,0,Darren Sproles right end for 1 yard (tackle by Robert Quinn),-0.480,-1.020
Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,NOR 23,0,0,Drew Brees pass complete short right to Pierre Thomas for 3 yards (tackle by James Laurinaitis),-1.020,-1.630
2,14:23,4,11,NOR 26,0,0,Thomas Morstead punts 62 yards,-1.630,0.350
2,14:13,1,10,STL 12,0,0,A.J. Feeley sacked by Roman Harper for -9 yards,-0.350,-1.440
2,13:42,2,19,STL 3,0,0,Steven Jackson right end for 10 yards (tackle by Roman Harper),-1.440,-1.300
2,13:14,3,9,STL 13,0,0,A.J. Feeley pass complete short left to Brandon Gibson for 13 yards (tackle by Patrick Robinson),-1.300,0.670
2,12:38,1,10,STL 26,0,0,A.J. Feeley pass complete short left to Brandon Lloyd for 11 yards (tackle by Patrick Robinson),0.670,1.400
2,12:00,1,10,STL 37,0,0,A.J. Feeley pass incomplete deep left intended for Brandon Lloyd,1.400,0.860
2,11:55,2,10,STL 37,0,0,Steven Jackson left tackle for 15 yards (tackle by Roman Harper),0.860,2.390
2,11:19,1,10,NOR 48,0,0,A.J. Feeley sacked by Will Smith for -7 yards,2.390,0.900
2,10:45,2,17,STL 45,0,0,A.J. Feeley pass complete short right to Greg Salas for 8 yards (tackle by Will Smith),0.900,1.290
2,10:09,3,9,NOR 47,0,0,A.J. Feeley pass complete short right to Steven Jackson for 7 yards (tackle by Scott Shanle),1.290,0.590
2,9:29,4,2,NOR 40,0,0,A.J. Feeley pass complete short left to Greg Salas for 17 yards (tackle by Malcolm Jenkins),0.590,4.040
,,,,,,,"NOR challenged the ruling, and the original play was overturned.",,
2,9:24,,,,0,0,Timeout #1 by New Orleans Saints,0.000,4.040
2,9:24,1,10,NOR 23,0,0,A.J. Feeley pass incomplete short right intended for Brandon Gibson (defended by Jabari Greer),4.040,3.500
2,9:20,2,10,NOR 23,0,0,Steven Jackson right end for 3 yards (tackle by Cameron Jordan),3.500,3.200
2,8:32,3,7,NOR 20,0,0,A.J. Feeley pass incomplete short left intended for Lance Kendricks (defended by Will Smith),3.200,2.120
2,8:32,4,7,NOR 20,0,3,Josh Brown 38 yard field goal good,2.120,3.000
2,,,,STL 35,0,3,"Josh Brown kicks off 66 yards, returned by Darren Sproles for 24 yards (tackle by Bryan Kehl)",0.000,0.480
2,8:26,1,10,NOR 23,0,3,Drew Brees pass complete short middle to Jimmy Graham for 7 yards (tackle by James Laurinaitis),0.480,0.880
2,7:52,2,3,NOR 30,0,3,Chris Ivory right end for 1 yard (tackle by James Laurinaitis),0.880,0.300
2,7:23,3,2,NOR 31,0,3,Drew Brees pass complete short right to Pierre Thomas for 6 yards (tackle by Josh Gordy),0.300,1.400
2,6:45,1,10,NOR 37,0,3,Drew Brees pass complete short right to Jed Collins for 14 yards (tackle by Chris Chamberlain),1.400,2.320
