Unnamed: 0,NOR,STL
First Downs,8,21
Rush-Yds-TDs,20-56-1,31-183-2
Cmp-Att-Yd-TD-INT,30-44-269-1-2,20-37-175-1-0
Sacked-Yards,6-42,4-35
Net Pass Yards,227,140
Total Yards,283,323
Fumbles-Lost,0-0,2-1
Turnovers,2,1
Penalties-Yards,5-32,9-64
Third Down Conv.,8-17,5-16
Fourth Down Conv.,1-1,2-2
Time of Possession,28:37,31:23
