Unnamed: 0,MIA,BUF
First Downs,24,17
Rush-Yds-TDs,30-109-2,23-117-0
Cmp-Att-Yd-TD-INT,23-35-282-1-1,16-26-202-2-0
Sacked-Yards,1-10,2-14
Net Pass Yards,272,188
Total Yards,381,305
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,6-55,9-83
Third Down Conv.,7-13,3-10
Fourth Down Conv.,2-2,0-0
Time of Possession,33:31,26:29
