Quarter,Time,Tm,Detail,MIA,BUF
1.0,10:54,Bills,Stephen Hauschka 39 yard field goal,0,3
,3:48,Bills,Stephen Hauschka 43 yard field goal,0,6
2.0,14:49,Dolphins,Kalen Ballage 3 yard rush (Jason Sanders kick),7,6
,10:06,Bills,Stephen Hauschka 45 yard field goal,7,9
,5:51,Dolphins,DeVante Parker 12 yard pass from Ryan Fitzpatrick (Jason Sanders kick),14,9
4.0,13:50,Bills,John Brown 20 yard pass from Josh Allen (Josh Allen run),14,17
,6:31,Bills,Cole Beasley 3 yard pass from Josh Allen (Stephen Hauschka kick),14,24
,1:45,Dolphins,Ryan Fitzpatrick 11 yard rush (Jason Sanders kick),21,24
,1:38,Bills,Micah Hyde 45 yard kickoff return (Stephen Hauschka kick),21,31
