Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Walton,MIA,14,66,0,2,15,1.1,51,3.6,1,14.0
Kenyan Drake,MIA,6,21,0,0,10,1.7,11,1.8,0,
Ryan Fitzpatrick,MIA,6,13,1,2,-1,-0.2,14,2.3,1,6.0
Kalen Ballage,MIA,3,7,1,3,1,0.3,6,2.0,0,
Matt Haack,MIA,1,2,0,1,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Frank Gore,BUF,11,55,0,3,26,2.4,29,2.6,0,
Devin Singletary,BUF,7,26,0,,17,2.4,9,1.3,1,7.0
Josh Allen,BUF,4,32,0,2,13,3.3,19,4.8,1,4.0
Patrick DiMarco,BUF,1,4,0,0,1,1.0,3,3.0,0,
