Quarter,Time,Tm,Detail,ARI,CAR
1.0,6:56,Cardinals,Neil Rackers 21 yard field goal,3,0
2.0,11:16,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),10,0
,5:42,Panthers,John Kasay 23 yard field goal,10,3
3.0,10:13,Cardinals,Tim Hightower 2 yard rush (Neil Rackers kick),17,3
,6:54,Panthers,DeAngelo Williams 15 yard rush (John Kasay kick),17,10
,6:10,Panthers,Steve Smith Sr. 18 yard pass from Jake Delhomme (John Kasay kick),17,17
,0:58,Cardinals,Anquan Boldin 2 yard pass from Kurt Warner (Neil Rackers kick failed),23,17
,0:02,Panthers,Steve Smith Sr. 65 yard pass from Jake Delhomme (John Kasay kick),23,24
4.0,9:09,Panthers,John Kasay 50 yard field goal,23,27
