Unnamed: 0,IND,WAS
First Downs,18,23
Rush-Yds-TDs,19-63-1,37-165-0
Cmp-Att-Yd-TD-INT,21-32-214-2-2,17-36-210-2-0
Sacked-Yards,3-19,1-5
Net Pass Yards,195,205
Total Yards,258,370
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,6-40,5-30
Third Down Conv.,6-11,8-16
Fourth Down Conv.,0-0,1-2
Time of Possession,26:27,33:33
