Quarter,Time,Tm,Detail,PIT,SFO
1.0,6:56,49ers,Terrell Owens 61 yard pass from Tim Rattay (Todd Peterson kick),0,7
2.0,11:06,49ers,Todd Peterson 32 yard field goal,0,10
3.0,10:01,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),7,10
,4:33,49ers,Kevan Barlow 78 yard rush (Todd Peterson kick),7,17
,4:19,49ers,Fred Beasley 28 yard pass from Tim Rattay (Todd Peterson kick),7,24
4.0,14:58,49ers,Todd Peterson 22 yard field goal,7,27
,9:04,49ers,Todd Peterson 44 yard field goal,7,30
,7:55,Steelers,Antwaan Randle El 32 yard pass from Tommy Maddox (Jeff Reed kick),14,30
