Unnamed: 0,PIT,SFO
First Downs,21,17
Rush-Yds-TDs,20-44-1,32-169-1
Cmp-Att-Yd-TD-INT,26-45-320-1-1,21-27-254-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,305,254
Total Yards,349,423
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,3-30,4-20
Third Down Conv.,8-16,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,29:33,30:27
