Quarter,Time,Tm,Detail,TAM,ATL
1.0,11:54,Falcons,Thomas DeCoud 30 yard defensive fumble return (Matt Bryant kick),0,7
2.0,13:23,Falcons,Jacquizz Rodgers 19 yard pass from Matt Ryan (Matt Bryant kick),0,14
,11:54,Buccaneers,Vincent Jackson 59 yard pass from Mike Glennon (Rian Lindell kick),7,14
,7:38,Falcons,Matt Bryant 23 yard field goal,7,17
,5:32,Falcons,Harry Douglas 37 yard pass from Matt Ryan (Matt Bryant kick),7,24
,0:00,Buccaneers,Rian Lindell 36 yard field goal,10,24
3.0,9:03,Buccaneers,Vincent Jackson 1 yard pass from Mike Glennon (Rian Lindell kick),17,24
4.0,14:06,Falcons,Jacquizz Rodgers 8 yard pass from Matt Ryan (Matt Bryant kick),17,31
,5:00,Buccaneers,Rian Lindell 41 yard field goal,20,31
,1:55,Buccaneers,Rian Lindell 35 yard field goal,23,31
