Unnamed: 0,TAM,ATL
First Downs,23,15
Rush-Yds-TDs,28-111-0,18-18-0
Cmp-Att-Yd-TD-INT,26-44-256-2-0,20-26-273-3-0
Sacked-Yards,3-30,0-0
Net Pass Yards,226,273
Total Yards,337,291
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,11-103,9-101
Third Down Conv.,5-17,3-9
Fourth Down Conv.,3-3,0-0
Time of Possession,37:49,22:11
