Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott right tackle for no gain (tackle by Kayvon Webster),0.610,0.060
1,14:20,2,10,DAL 25,0,0,Dak Prescott pass incomplete short right intended for Allen Hurns,0.060,-0.620
1,14:16,3,10,DAL 25,0,0,Dak Prescott pass complete short right to Deonte Thompson for 11 yards (tackle by Shareece Wright),-0.620,1.330
1,13:31,1,10,DAL 36,0,0,Rod Smith left guard for 5 yards (tackle by Zach Cunningham and Angelo Blackson),1.330,1.470
1,12:58,2,5,DAL 41,0,0,Dak Prescott pass complete short right to Geoff Swaim for 43 yards (tackle by Tyrann Mathieu),1.470,4.510
1,12:04,1,10,HOU 16,0,0,Ezekiel Elliott left guard for 2 yards (tackle by Zach Cunningham),4.510,4.210
1,11:29,2,8,HOU 14,0,0,Dak Prescott pass complete short left to Michael Gallup for 6 yards (tackle by Johnathan Joseph and Zach Cunningham),4.210,4.620
1,10:46,3,2,HOU 8,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for -1 yards (tackle by Benardrick McKinney),4.620,2.930
1,10:06,4,3,HOU 9,3,0,Brett Maher 27 yard field goal good,2.930,3.000
1,10:03,,,DAL 35,3,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,10:03,1,10,HOU 25,3,0,Alfred Blue right tackle for 3 yards (tackle by Antwaun Woods and Jaylon Smith),0.610,0.470
1,9:34,2,7,HOU 28,3,0,Deshaun Watson pass complete short middle to Ryan Griffin for 10 yards (tackle by Chidobe Awuzie),0.470,1.470
1,9:04,1,10,HOU 38,3,0,Deshaun Watson left end for 11 yards (tackle by Xavier Woods),1.470,2.190
1,8:35,1,10,HOU 49,3,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 15 yards (tackle by Byron Jones),2.190,3.180
1,7:57,1,10,DAL 36,3,0,Deshaun Watson left end for -2 yards (tackle by Jaylon Smith),3.180,2.370
1,7:22,2,12,DAL 38,3,0,Deshaun Watson pass complete short left to Alfred Blue for 1 yard (tackle by Byron Jones),2.370,1.820
1,6:37,3,11,DAL 37,3,0,Deshaun Watson up the middle for 7 yards (tackle by Randy Gregory),1.820,1.460
1,5:52,4,4,DAL 30,3,0,Ka'imi Fairbairn 48 yard field goal no good,1.460,-1.470
1,5:48,1,10,DAL 38,3,0,Dak Prescott pass complete deep right to Rico Gathers for 32 yards (tackle by Shareece Wright),1.470,3.580
1,5:08,1,10,HOU 30,3,0,Ezekiel Elliott right end for no gain (tackle by Shareece Wright),3.580,3.030
1,4:40,2,10,HOU 30,3,0,Ezekiel Elliott left guard for -1 yards (tackle by Jadeveon Clowney),3.030,2.210
1,3:56,3,11,HOU 31,3,0,Dak Prescott pass complete short right to Geoff Swaim for 6 yards (tackle by Tyrann Mathieu),2.210,1.850
1,3:13,4,5,HOU 25,6,0,Brett Maher 43 yard field goal good,1.850,3.000
1,3:10,,,DAL 35,6,0,"Brett Maher kicks off 65 yards, touchback.. Penalty on Jamize Olawale: Illegal Formation, 5 yards",0.000,0.940
1,3:10,1,10,HOU 30,6,0,"Deshaun Watson pass complete short right to DeAndre Hopkins for 6 yards. Penalty on Tyrone Crawford: Defensive Offside, 5 yards (no play)",0.940,1.670
1,2:58,1,5,HOU 35,6,0,Alfred Blue left tackle for 3 yards (tackle by Anthony Brown),1.670,1.470
1,2:22,2,2,HOU 38,6,0,Deshaun Watson pass complete short left to Keke Coutee for 12 yards (tackle by Anthony Brown),1.470,2.260
1,1:41,1,10,HOU 50,6,0,Keke Coutee right end for 2 yards (tackle by Jaylon Smith and Demarcus Lawrence),2.260,1.980
1,1:01,2,8,DAL 48,6,0,Deshaun Watson pass complete short middle to Will Fuller for 5 yards (tackle by Jaylon Smith),1.980,1.950
1,0:16,3,3,DAL 43,6,0,Deshaun Watson pass complete short middle to DeAndre Hopkins for 34 yards (tackle by Chidobe Awuzie),1.950,5.140
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,DAL 9,6,0,"Penalty on Kendall Lamm: False Start, 5 yards (no play)",5.140,4.440
2,15:00,1,14,DAL 14,6,0,Deshaun Watson left end for 8 yards (tackle by Byron Jones),4.440,4.950
2,14:26,2,6,DAL 6,6,0,Deshaun Watson right end for 5 yards (tackle by Tyrone Crawford and Jeff Heath),4.950,5.170
2,13:45,3,1,DAL 1,6,6,"Deshaun Watson pass complete short middle to Keke Coutee for 1 yard, touchdown",5.170,7.000
2,13:40,,,DAL 15,6,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,13:40,,,HOU 35,6,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,13:40,1,10,DAL 25,6,7,Ezekiel Elliott up the middle for 14 yards (tackle by Justin Reid),0.610,1.530
2,13:13,1,10,DAL 39,6,7,Dak Prescott right end for 6 yards (tackle by Kareem Jackson),1.530,1.800
2,12:47,2,4,DAL 45,6,7,"Penalty on La'el Collins: False Start, 5 yards (no play)",1.800,1.120
2,12:22,2,9,DAL 40,6,7,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Johnathan Joseph),1.120,0.430
2,12:18,3,9,DAL 40,6,7,"Dak Prescott pass incomplete deep right intended for Michael Gallup (defended by Shareece Wright). Penalty on Jadeveon Clowney: Defensive Offside, 5 yards (no play)",0.430,1.090
2,12:12,3,4,DAL 45,6,7,Dak Prescott pass incomplete short left intended for Cole Beasley,1.090,-0.390
2,12:07,4,4,DAL 45,6,7,"Chris Jones punts 36 yards, fair catch by Tyler Ervin at HOU-19",-0.390,-0.150
2,11:57,1,10,HOU 19,6,7,Alfred Blue up the middle for 1 yard (tackle by Randy Gregory and Jaylon Smith),0.150,-0.200
2,11:25,2,9,HOU 20,6,7,Deshaun Watson pass complete short left to DeAndre Hopkins for 11 yards (tackle by Byron Jones),-0.200,1.000
2,10:54,1,10,HOU 31,6,7,Alfred Blue right end for 6 yards (tackle by Jaylon Smith),1.000,1.270
2,10:22,2,4,HOU 37,6,7,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins,1.270,0.560
2,10:16,3,4,HOU 37,6,7,"Deshaun Watson pass incomplete deep right intended for Keke Coutee. Penalty on Xavier Woods: Unnecessary Roughness, 15 yards (no play)",0.560,2.390
2,10:07,1,10,DAL 48,6,7,Alfred Blue left guard for 17 yards (tackle by Kavon Frazier),2.390,3.510
2,9:22,1,10,DAL 31,6,7,Deshaun Watson pass complete short right to Jordan Thomas for 11 yards (tackle by Leighton Vander Esch),3.510,4.240
2,8:45,1,10,DAL 20,6,7,"Penalty on Ryan Griffin: False Start, 5 yards (no play)",4.240,3.910
2,8:27,1,15,DAL 25,6,7,Deshaun Watson pass complete short right to Ryan Griffin for 12 yards,3.910,4.830
2,7:58,2,3,DAL 13,6,7,Alfred Blue right guard for 7 yards (tackle by Dorance Armstrong),4.830,5.830
2,7:33,1,6,DAL 6,6,7,Alfred Blue right end for -3 yards (tackle by Damien Wilson),5.830,4.380
2,6:49,2,9,DAL 9,6,7,Deshaun Watson left end for 7 yards (tackle by Jeff Heath and Xavier Woods),4.380,4.950
2,6:13,3,2,DAL 2,6,7,Deshaun Watson pass incomplete short left,4.950,3.250
2,6:03,4,2,DAL 2,6,10,Ka'imi Fairbairn 20 yard field goal good,3.250,3.000
2,6:00,,,HOU 35,6,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,6:00,1,10,DAL 25,6,10,Ezekiel Elliott right guard for 4 yards (tackle by Zach Cunningham and Tyrann Mathieu),0.610,0.600
2,5:23,2,6,DAL 29,6,10,Ezekiel Elliott left end for 2 yards (tackle by Kareem Jackson and Justin Reid),0.600,0.170
2,4:48,3,4,DAL 31,6,10,Dak Prescott pass complete short middle to Geoff Swaim for 6 yards (tackle by Tyrann Mathieu),0.170,1.400
2,4:13,1,10,DAL 37,6,10,Ezekiel Elliott left guard for 9 yards (tackle by Justin Reid),1.400,2.070
2,3:42,2,1,DAL 46,6,10,Rod Smith left end for 4 yards (tackle by Zach Cunningham),2.070,2.260
2,3:09,1,10,DAL 50,6,10,Dak Prescott pass incomplete short left intended for Blake Jarwin,2.260,1.710
2,3:04,2,10,DAL 50,6,10,Dak Prescott up the middle for 9 yards (tackle by D.J. Reader),1.710,2.210
2,2:18,3,1,HOU 41,6,10,Ezekiel Elliott up the middle for no gain (tackle by J.J. Watt),2.210,0.530
2,2:00,4,1,HOU 41,6,10,Dak Prescott up the middle for 2 yards (tackle by Zach Cunningham),0.530,2.980
2,1:41,1,10,HOU 39,6,10,Dak Prescott pass deep right intended for Tavon Austin is intercepted by Kareem Jackson at HOU-20 and returned for 11 yards,2.980,-1.000
2,1:31,1,10,HOU 31,6,10,Deshaun Watson pass complete short right to Ryan Griffin for 11 yards (tackle by Jeff Heath),1.000,1.730
2,1:07,1,10,HOU 42,6,10,Deshaun Watson pass complete short right to Ryan Griffin for 8 yards (tackle by Leighton Vander Esch),1.730,2.270
2,0:45,2,2,HOU 50,6,10,Deshaun Watson pass complete short middle to Alfred Blue for 28 yards (tackle by Jeff Heath),2.270,4.110
2,0:34,,,,,,Timeout #1 by Houston Texans,,
2,0:34,1,10,DAL 22,6,10,Deshaun Watson pass complete short right to DeAndre Hopkins for 13 yards (tackle by Chidobe Awuzie),4.110,5.140
2,0:29,1,9,DAL 9,6,10,Deshaun Watson pass incomplete short left intended for Ryan Griffin,5.140,4.380
2,0:20,2,9,DAL 9,6,10,Deshaun Watson pass incomplete short right intended for DeAndre Hopkins,4.380,3.360
2,0:15,3,9,DAL 9,6,10,Deshaun Watson pass complete short middle to DeAndre Hopkins for 8 yards (tackle by Jeff Heath),3.360,3.550
2,0:10,,,,,,Timeout #2 by Houston Texans,,
2,0:10,4,1,DAL 1,6,10,Deshaun Watson sacked by Jaylon Smith for -1 yards,3.550,0.380
2,0:03,1,10,DAL 2,6,10,Dak Prescott kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,DAL,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,6,10,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,6,10,Deshaun Watson pass complete short right to Alfred Blue for 4 yards (tackle by Leighton Vander Esch and Taco Charlton),0.610,0.600
3,14:35,2,6,HOU 29,6,10,Alfred Blue up the middle for 2 yards (tackle by Leighton Vander Esch and Jaylon Smith),0.600,0.170
