Unnamed: 0,DAL,HOU
First Downs,14,25
Rush-Yds-TDs,29-98-0,31-88-0
Cmp-Att-Yd-TD-INT,18-29-208-1-2,33-44-375-1-1
Sacked-Yards,2-14,1-1
Net Pass Yards,194,374
Total Yards,292,462
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,7-72,5-25
Third Down Conv.,4-14,5-15
Fourth Down Conv.,1-1,0-1
Time of Possession,31:32,36:38
