Unnamed: 0,CLE,HOU
First Downs,16,11
Rush-Yds-TDs,33-156-0,37-117-0
Cmp-Att-Yd-TD-INT,12-25-185-1-0,10-20-138-1-1
Sacked-Yards,2-16,2-18
Net Pass Yards,169,120
Total Yards,325,237
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,1-5,5-35
Third Down Conv.,3-12,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,29:04,30:56
