Unnamed: 0,NOR,STL
First Downs,27,25
Rush-Yds-TDs,32-146-1,15-78-2
Cmp-Att-Yd-TD-INT,24-41-316-1-0,32-49-358-1-0
Sacked-Yards,1-0,5-33
Net Pass Yards,316,325
Total Yards,462,403
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-25,12-85
Third Down Conv.,3-12,5-13
Fourth Down Conv.,1-3,2-2
Time of Possession,33:27,33:37
