Quarter,Time,Tm,Detail,NOR,STL
1,7:58,Rams,Torry Holt 32 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
2,14:50,Saints,John Carney 52 yard field goal,3,7
,11:08,Rams,Jeff Wilkins 53 yard field goal,3,10
,7:46,Saints,Aaron Stecker 42 yard rush (John Carney kick),10,10
,1:01,Saints,John Carney 53 yard field goal,13,10
3,5:16,Saints,John Carney 39 yard field goal,16,10
4,13:34,Rams,Marshall Faulk 3 yard rush (Jeff Wilkins kick),16,17
,8:23,Saints,Joe Horn 9 yard pass from Aaron Brooks (pass failed),22,17
,0:28,Rams,Marc Bulger 19 yard rush (Kevin Curtis pass from Marc Bulger),22,25
,0:03,Saints,John Carney 38 yard field goal,25,25
OT,7:56,Saints,John Carney 31 yard field goal,28,25
