Quarter,Time,Tm,Detail,NOR,HOU
1.0,12:09,Saints,Olindo Mare 52 yard field goal,3,0
,10:44,Texans,Andre Johnson 73 yard pass from Matt Schaub (Kris Brown kick),3,7
2.0,4:39,Saints,Devery Henderson 6 yard pass from Drew Brees (Olindo Mare kick),10,7
,2:10,Texans,Joel Dreessen 10 yard pass from Matt Schaub (Kris Brown kick),10,14
,0:08,Texans,Kris Brown 36 yard field goal,10,17
4.0,12:22,Texans,Kris Brown 53 yard field goal,10,20
,1:57,Texans,Kris Brown 23 yard field goal,10,23
