Quarter,Time,Down,ToGo,Location,NOR,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Olindo Mare kicks off 69 yards, returned by Dexter Wynn for 26 yards (tackle by Chris Reis)",0.000,0.740
1,14:54,1,10,HOU 27,0,0,"Matt Schaub pass complete to Vonta Leach for 2 yards (tackle by Jason David). Vonta Leach fumbles (forced by Jason David), ball out of bounds at HOU-29",0.740,0.470
1,14:54,2,8,HOU 29,0,0,Ron Dayne left tackle for 4 yards (tackle by Josh Cooper),0.470,0.300
1,13:47,3,4,HOU 33,0,0,"Matt Schaub pass complete short middle to Owen Daniels for 5 yards (tackle by Scott Shanle). Owen Daniels fumbles (forced by Scott Shanle), recovered by Scott Fujita at HOU-38",0.300,-3.050
,,,,,,,"HOU challenged the fumble ruling, and the play was upheld.",,
1,13:29,1,10,HOU 38,0,0,Reggie Bush up the middle for 1 yard (tackle by Anthony Weaver),3.050,2.640
1,12:58,2,9,HOU 37,0,0,Reggie Bush left guard for 3 yards (tackle by Danny Clark),2.640,2.340
1,12:18,3,6,HOU 34,0,0,Drew Brees pass incomplete short left intended for Lance Moore (defended by Dexter Wynn),2.340,1.070
1,12:13,4,6,HOU 34,3,0,Olindo Mare 52 yard field goal good,1.070,3.000
1,,,,NOR 30,3,0,"Olindo Mare kicks off 69 yards, returned by Dexter Wynn for 8 yards, lateral to Michael Boulware for 6 yards (tackle by Terrance Copper)",0.000,-0.220
1,12:01,1,10,HOU 15,3,0,Matt Schaub pass complete short left to Kevin Walter for 9 yards (tackle by Jason David),-0.220,0.620
1,11:26,2,1,HOU 24,3,0,Ron Dayne left tackle for 3 yards (tackle by Hollis Thomas),0.620,0.740
1,10:54,1,10,HOU 27,3,6,"Matt Schaub pass complete deep middle to Andre Johnson for 73 yards, touchdown",0.740,7.000
1,,,,NOR 2,3,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,3,7,"Kris Brown kicks off 62 yards, returned by Pierre Thomas for 23 yards (tackle by Demarcus Faggins)",0.000,1.000
1,10:38,1,10,NOR 31,3,7,Reggie Bush left guard for no gain (tackle by Mario Williams),1.000,0.460
1,10:01,2,10,NOR 31,3,7,Drew Brees pass complete short right to Billy Miller for 3 yards (tackle by Morlon Greenwood),0.460,0.170
1,9:22,3,7,NOR 34,3,7,Drew Brees pass complete deep middle to Marques Colston for 18 yards (tackle by C.C. Brown),0.170,2.390
1,8:46,1,10,HOU 48,3,7,Drew Brees pass complete short left to Marques Colston for 9 yards (tackle by DeMeco Ryans),2.390,3.060
1,8:14,2,1,HOU 39,3,7,Reggie Bush up the middle for 2 yards (tackle by Will Demps and Mario Williams),3.060,3.120
1,7:40,1,10,HOU 37,3,7,"Reggie Bush right end for no gain (tackle by Jeff Zgonina). Penalty on Billy Miller: Offensive Holding, 10 yards (no play)",3.120,2.460
1,7:18,1,20,HOU 47,3,7,Drew Brees pass incomplete short left intended for Aaron Stecker (defended by Travis Johnson),2.460,1.220
1,7:12,2,20,HOU 47,3,7,Drew Brees pass incomplete short left intended for Reggie Bush,1.220,0.560
1,7:06,3,20,HOU 47,3,7,Drew Brees pass complete deep left to Marques Colston for 32 yards (tackle by Von Hutchins),0.560,4.580
1,6:38,1,10,HOU 15,3,7,Drew Brees pass complete short right to Reggie Bush for 11 yards (tackle by C.C. Brown),4.580,6.280
1,5:52,1,4,HOU 4,3,7,Reggie Bush right guard for 1 yard (tackle by DeMeco Ryans),6.280,5.530
1,5:13,2,3,HOU 3,3,7,"Reggie Bush up the middle for 2 yards (tackle by Earl Cochran). Reggie Bush fumbles (forced by Earl Cochran), recovered by C.C. Brown at HOU-1 (tackle by Reggie Bush)",5.530,0.380
,,,,,,,"NOR challenged the fumble ruling, and the play was upheld.",,
1,4:44,1,10,HOU 1,3,7,Ron Dayne right guard for 3 yards (tackle by Josh Bullocks and Scott Fujita),-0.380,-0.560
1,4:11,2,7,HOU 4,3,7,Matt Schaub pass complete short left to Kevin Walter for 13 yards (tackle by Roman Harper),-0.560,-0.060
1,3:36,1,10,HOU 17,3,7,Ron Dayne right end for 2 yards (tackle by Renaldo Wynn and Antwan Lake),-0.060,-0.250
1,3:01,2,8,HOU 19,3,7,Ron Dayne right end for 3 yards (tackle by Mark Simoneau),-0.250,-0.620
1,2:23,3,5,HOU 22,3,7,Matt Schaub pass incomplete short right intended for Andre Johnson (defended by Mike McKenzie),-0.620,-1.900
1,2:18,4,5,HOU 22,3,7,"Matt Turk punts 57 yards, returned by Lance Moore for 9 yards (tackle by Michael Boulware)",-1.900,-0.940
1,2:05,1,10,NOR 30,3,7,Drew Brees pass complete short right to Billy Miller for 14 yards,0.940,1.860
1,1:31,1,10,NOR 44,3,7,Drew Brees pass incomplete short right intended for Reggie Bush,1.860,1.320
1,1:26,2,10,NOR 44,3,7,Drew Brees pass complete short right to Reggie Bush for 9 yards (tackle by Will Demps),1.320,1.820
1,1:00,3,1,HOU 47,3,7,Mike Karney up the middle for 1 yard (tackle by Jeff Zgonina and Amobi Okoye),1.820,2.520
1,0:16,1,10,HOU 46,3,7,Drew Brees pass complete short middle to Eric Johnson for 5 yards (tackle by Morlon Greenwood),2.520,2.650
Quarter,Time,Down,ToGo,Location,NOR,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,HOU 41,3,7,Reggie Bush left guard for no gain (tackle by Travis Johnson and Mario Williams),2.650,1.950
2,14:24,3,5,HOU 41,3,7,Drew Brees pass complete short middle to David Patten for 8 yards (tackle by C.C. Brown),1.950,3.380
2,13:39,1,10,HOU 33,3,7,"Drew Brees pass incomplete deep left intended for Marques Colston (defended by Von Hutchins). Penalty on Billy Miller: Illegal Motion, 5 yards (no play)",3.380,3.050
2,13:30,1,15,HOU 38,3,7,Drew Brees pass complete short middle to Reggie Bush for 4 yards (tackle by Danny Clark),3.050,2.700
2,12:50,2,11,HOU 34,3,7,Drew Brees pass complete short middle to Marques Colston for 5 yards (tackle by Von Hutchins),2.700,2.680
