Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 61 yards, returned by Michael Waddell for 18 yards (tackle by Cameron Worrell)",0.000,0.740
1,14:55,1,10,TEN 27,0,0,Chris Brown right end for -3 yards (tackle by Adewale Ogunleye),0.740,-0.210
1,14:17,2,13,TEN 24,0,0,Chris Brown left tackle for 5 yards (tackle by Lance Briggs),-0.210,-0.230
1,13:39,3,8,TEN 29,0,0,Billy Volek pass complete to Erron Kinney for 6 yards (tackle by Jerry Azumah),-0.230,-1.040
1,13:00,4,2,TEN 35,0,0,"Craig Hentrich punts 36 yards, returned by R.W. McQuarters for -1 yards (tackle by Ken Amato)",-1.040,-0.810
1,12:51,1,10,CHI 28,0,0,Craig Krenzel pass complete to Bobby Wade for 4 yards (tackle by Lamont Thompson),0.810,0.800
1,12:25,2,6,CHI 32,0,0,Craig Krenzel pass incomplete intended for Anthony Thomas,0.800,0.100
1,12:22,3,6,CHI 32,0,0,Anthony Thomas up the middle for -5 yards (tackle by Keith Bulluck and Tank Williams),0.100,-1.570
1,11:49,4,11,CHI 27,0,0,"Brad Maynard punts 41 yards, returned by Michael Waddell for 41 yards (tackle by Adrian Peterson). Penalty on Robert Reynolds: Illegal Block Above the Waist",-1.570,-1.990
1,11:37,1,10,TEN 46,0,0,Chris Brown left tackle for 3 yards (tackle by Michael Green and Alex Brown),1.990,1.860
1,11:02,2,7,TEN 49,0,0,Billy Volek pass complete to Shad Meier for 4 yards (tackle by Jerry Azumah),1.860,1.690
1,10:32,3,3,CHI 47,0,0,Billy Volek pass complete to Derrick Mason for 2 yards (tackle by Jerry Azumah),1.690,0.270
1,9:50,4,1,CHI 45,0,0,Chris Brown left end for no gain (tackle by Brian Urlacher and Lance Briggs),0.270,-1.930
1,9:43,1,10,CHI 45,0,0,Craig Krenzel pass incomplete intended for Bryan Johnson (defended by Andre Dyson),1.930,1.380
1,9:40,2,10,CHI 45,0,0,Anthony Thomas up the middle for -3 yards (tackle by Albert Haynesworth and Travis LaBoy),1.380,0.300
1,9:01,3,13,CHI 42,0,0,Craig Krenzel up the middle for 9 yards (tackle by Keith Bulluck),0.300,0.000
1,8:27,4,4,TEN 49,0,0,"Brad Maynard punts 41 yards, fair catch by Derrick Mason",0.000,0.380
1,8:20,1,10,TEN 8,0,0,Billy Volek pass complete to Drew Bennett for 20 yards (tackle by Jerry Azumah),-0.380,0.810
1,7:45,1,10,TEN 28,0,0,Chris Brown left tackle for 1 yard (tackle by Lance Briggs and Ian Scott),0.810,0.400
1,7:06,2,9,TEN 29,0,0,Chris Brown up the middle for 7 yards (tackle by Alex Brown and Adewale Ogunleye),0.400,0.630
1,6:26,3,2,TEN 36,0,0,Billy Volek pass incomplete intended for Derrick Mason (defended by Jerry Azumah),0.630,-0.980
1,6:23,4,2,TEN 36,0,0,"Craig Hentrich punts 47 yards, returned by Bernard Berrian for -2 yards (tackle by Michael Waddell)",-0.980,0.220
1,6:15,1,10,CHI 15,0,0,Anthony Thomas left end for 3 yards (tackle by Brad Kassell and Rocky Boiman),-0.220,-0.280
1,5:38,2,7,CHI 18,0,0,Anthony Thomas up the middle for -1 yards (tackle by Albert Haynesworth and Tank Williams),-0.280,-1.120
1,5:02,3,8,CHI 17,0,0,Craig Krenzel sacked by Keith Bulluck and Brad Kassell for -12 yards,-1.120,-2.490
1,4:38,4,20,CHI 5,0,0,"Brad Maynard punts 56 yards, returned by Michael Waddell for 3 yards (tackle by Corey Jenkins)",-2.490,-1.730
1,4:26,1,10,TEN 42,0,0,Billy Volek pass incomplete intended for Ben Troupe,1.730,1.190
1,4:23,2,10,TEN 42,0,0,Billy Volek pass complete to Ben Troupe for 3 yards,1.190,0.890
1,3:55,3,7,TEN 45,0,0,Billy Volek pass complete to Drew Bennett for 12 yards (tackle by Nathan Vasher),0.890,2.720
1,3:28,1,10,CHI 43,0,0,Chris Brown right guard for 2 yards (tackle by Hunter Hillenmeyer and Brian Urlacher),2.720,2.450
1,2:48,2,8,CHI 41,0,0,Chris Brown left guard for 12 yards (tackle by Michael Green and Todd Johnson). Penalty on Alfonso Boone: Defensive Offside (Declined),2.450,3.640
1,2:24,1,10,CHI 29,0,6,"Billy Volek pass complete to Derrick Mason for 29 yards, touchdown",3.640,7.000
1,,,,CHI 2,0,7,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,0,7,"Craig Hentrich kicks off 60 yards, returned by Jerry Azumah for 24 yards (tackle by Troy Fleming)",0.000,1.200
1,2:11,1,10,CHI 34,0,7,Craig Krenzel pass incomplete intended for Bryan Johnson,1.200,0.660
1,2:05,2,10,CHI 34,0,7,Craig Krenzel pass incomplete intended for David Terrell,0.660,-0.030
1,2:02,3,10,CHI 34,0,7,Craig Krenzel sacked by Kevin Carter for -13 yards,-0.030,-1.960
1,1:37,4,23,CHI 21,0,7,"Brad Maynard punts 56 yards, muffed catch by Michael Waddell, recovered by Michael Waddell and returned for 4 yards (tackle by Hunter Hillenmeyer)",-1.960,-0.740
1,1:26,1,10,TEN 27,0,7,Billy Volek pass complete to Derrick Mason for 17 yards (tackle by Jerry Azumah),0.740,1.860
1,0:44,1,10,TEN 44,0,7,Chris Brown right guard for 3 yards (tackle by Alex Brown and Ian Scott),1.860,1.720
1,0:14,2,7,TEN 47,0,7,Billy Volek pass complete to Troy Fleming for 2 yards (tackle by Lance Briggs),1.720,1.290
Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,TEN 49,0,7,Billy Volek pass complete to Chris Brown for no gain,1.290,-0.130
2,14:21,4,5,TEN 49,0,7,"Craig Hentrich punts 46 yards, returned by R.W. McQuarters for 4 yards (tackle by Justin Ena)",-0.130,0.380
2,14:11,1,10,CHI 9,0,7,Anthony Thomas right guard for 6 yards (tackle by Kevin Carter),-0.380,-0.280
2,13:34,2,4,CHI 15,0,7,Anthony Thomas left guard for -1 yards (tackle by Keith Bulluck and Travis LaBoy),-0.280,-0.840
2,12:54,3,5,CHI 14,0,7,Craig Krenzel pass complete to Bobby Wade for 5 yards (tackle by Andre Woolfolk),-0.840,0.150
2,12:29,1,10,CHI 19,0,7,Bobby Wade left end for 7 yards (tackle by Tank Williams and Travis LaBoy),0.150,0.610
2,11:46,,,,0,7,Timeout #1 by Chicago Bears,0.000,0.610
2,11:46,2,3,CHI 26,0,7,Anthony Thomas left tackle for 8 yards (tackle by Samari Rolle and Keith Bulluck),0.610,1.200
2,11:12,1,10,CHI 34,0,7,Anthony Thomas left end for 1 yard (tackle by Keith Bulluck and Rocky Boiman),1.200,0.790
2,10:31,2,9,CHI 35,0,7,Craig Krenzel pass incomplete intended for David Terrell,0.790,0.100
2,10:27,,,,0,7,Timeout #2 by Chicago Bears,0.000,0.100
2,10:27,3,9,CHI 35,0,7,Craig Krenzel pass complete to Anthony Thomas for 6 yards (tackle by Lamont Thompson),0.100,-0.650
2,9:45,4,3,CHI 41,0,7,"Brad Maynard punts 48 yards, fair catch by Michael Waddell",-0.650,0.370
2,9:37,1,10,TEN 11,0,7,Billy Volek pass incomplete intended for Drew Bennett,-0.370,-0.780
2,9:32,2,10,TEN 11,0,7,Chris Brown left tackle for 5 yards (tackle by Ian Scott and Brian Urlacher),-0.780,-0.840
2,8:49,3,5,TEN 16,0,7,Billy Volek pass complete to Drew Bennett for 5 yards (tackle by Nathan Vasher),-0.840,0.340
2,8:18,1,10,TEN 21,0,7,Billy Volek pass incomplete intended for Erron Kinney,0.340,-0.200
2,8:14,2,10,TEN 21,0,7,"Chris Brown left tackle for 7 yards (tackle by Michael Green and Alex Brown). Chris Brown fumbles (forced by Alex Brown), recovered by Alex Brown at TEN-28 (tackle by Drew Bennett)",-0.200,-3.710
,,,,,,,"TEN challenged the ruling, and the play was upheld.",,
2,8:00,1,10,TEN 28,0,7,Anthony Thomas left tackle for 5 yards (tackle by Samari Rolle and Keith Bulluck),3.710,3.840
2,7:19,2,5,TEN 23,0,7,Anthony Thomas up the middle for 2 yards (tackle by Brad Kassell and Kevin Carter),3.840,3.400
2,6:37,3,3,TEN 21,0,7,Craig Krenzel pass complete to Anthony Thomas for no gain,3.400,2.160
2,5:54,4,3,TEN 21,0,7,Paul Edinger 39 yard field goal no good,2.160,-0.870
2,5:50,1,10,TEN 29,0,7,Billy Volek pass incomplete intended for Shad Meier (defended by Lance Briggs),0.870,0.330
2,5:45,2,10,TEN 29,0,7,"Chris Brown right tackle for 3 yards (tackle by Tommie Harris). Chris Brown fumbles (forced by Tommie Harris), recovered by R.W. McQuarters at TEN-34 (tackle by Derrick Mason)",0.330,-3.510
2,5:36,1,10,TEN 31,0,7,Anthony Thomas up the middle for 6 yards (tackle by Rien Long and Lamont Thompson),3.510,3.780
2,4:55,2,4,TEN 25,0,7,Anthony Thomas up the middle for 1 yard (tackle by Randy Starks),3.780,3.200
2,4:12,3,3,TEN 24,0,7,Anthony Thomas left end for 8 yards (tackle by Tank Williams),3.200,4.510
2,3:26,1,10,TEN 16,0,7,Anthony Thomas up the middle for no gain (tackle by Antwan Odom and Keith Bulluck),4.510,3.900
2,2:45,2,10,TEN 16,0,7,"Penalty on Anthony Thomas: False Start, 5 yards (no play)",3.900,3.280
2,2:20,2,15,TEN 21,0,7,Craig Krenzel pass complete to Anthony Thomas for 4 yards (tackle by Samari Rolle),3.280,3.020
2,2:00,3,11,TEN 17,0,7,Craig Krenzel pass incomplete intended for Desmond Clark is intercepted by Andre Dyson at TEN-3 and returned for 21 yards (tackle by Anthony Thomas),3.020,-0.540
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:44,1,10,TEN 24,0,7,Robert Holcombe up the middle for 1 yard (tackle by Lance Briggs and Brian Urlacher),0.540,0.130
2,1:20,2,9,TEN 25,0,7,Billy Volek pass complete to Shad Meier for 7 yards (tackle by Lance Briggs),0.130,0.370
2,1:00,3,2,TEN 32,0,7,Billy Volek pass incomplete intended for Drew Bennett,0.370,-1.240
2,0:55,4,2,TEN 32,0,7,Craig Hentrich punts 13 yards,-1.240,-2.590
