Quarter,Time,Tm,Detail,CHI,TEN
1,2:17,Titans,Derrick Mason 29 yard pass from Billy Volek (Gary Anderson kick),0,7
2,0:18,Bears,Michael Haynes 45 yard interception return (Paul Edinger kick),7,7
3,11:04,Bears,R.W. McQuarters 75 yard punt return (Paul Edinger kick),14,7
4,12:55,Titans,Gary Anderson 33 yard field goal,14,10
,6:00,Titans,Drew Bennett 47 yard pass from Billy Volek (Gary Anderson kick),14,17
,0:52,Bears,Paul Edinger 29 yard field goal,17,17
OT,11:43,Bears,"Safety,",19,17
