Unnamed: 0,CHI,TEN
First Downs,10,14
Rush-Yds-TDs,34-101-0,24-72-0
Cmp-Att-Yd-TD-INT,10-28-116-0-2,27-44-334-2-1
Sacked-Yards,5-41,3-16
Net Pass Yards,75,318
Total Yards,176,390
Fumbles-Lost,2-1,4-2
Turnovers,3,3
Penalties-Yards,6-50,4-25
Third Down Conv.,2-17,3-17
Fourth Down Conv.,1-1,0-1
Time of Possession,33:09,30:08
