Quarter,Time,Tm,Detail,CHI,TAM
2.0,13:25,Buccaneers,Martin Gramatica 22 yard field goal,0,3
,0:48,Buccaneers,Michael Clayton 6 yard pass from Brian Griese (Martin Gramatica kick),0,10
3.0,12:23,Buccaneers,Martin Gramatica 22 yard field goal,0,13
,3:45,Bears,Thomas Jones 1 yard rush (Paul Edinger kick),7,13
4.0,8:52,Buccaneers,Michael Pittman 3 yard rush (pass failed),7,19
