Quarter,Time,Tm,Detail,CLE,NYG
1.0,9:01,Giants,Tiki Barber 8 yard rush (Steve Christie kick),0,7
2.0,7:51,Giants,Steve Christie 43 yard field goal,0,10
3.0,2:54,Giants,Kurt Warner 1 yard rush (Steve Christie kick),0,17
4.0,12:53,Browns,Phil Dawson 49 yard field goal,3,17
,6:45,Giants,Steve Christie 25 yard field goal,3,20
,3:36,Browns,Quincy Morgan 3 yard pass from Jeff Garcia (Phil Dawson kick),10,20
,2:02,Giants,Mike Cloud 5 yard rush (Steve Christie kick),10,27
