Unnamed: 0,CLE,NYG
First Downs,18,25
Rush-Yds-TDs,23-124-0,32-116-3
Cmp-Att-Yd-TD-INT,21-31-180-1-1,19-27-286-0-0
Sacked-Yards,4-19,2-12
Net Pass Yards,161,274
Total Yards,285,390
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,8-80,8-59
Third Down Conv.,2-10,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,27:58,32:02
