Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
1,0:51,2,6,CLE 8,0,7,William Green right tackle for 2 yards (tackle by Gibril Wilson),-0.490,-0.720
1,0:14,3,4,CLE 10,0,7,Jeff Garcia pass incomplete intended for Dennis Northcutt,-0.720,-2.490
,,,,,,,"CLE challenged the ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,CLE 10,0,7,Derrick Frost punts 30 yards,-2.490,-2.920
2,14:53,1,10,CLE 40,0,7,Kurt Warner pass incomplete intended for Amani Toomer (defended by Orpheus Roye),2.920,2.370
2,14:46,2,10,CLE 40,0,7,Tiki Barber left tackle for 1 yard,2.370,1.820
2,14:07,3,9,CLE 39,0,7,Kurt Warner pass incomplete,1.820,0.660
2,13:58,4,9,CLE 39,0,7,"Jeff Feagles punts 29 yards, fair catch by Dennis Northcutt",0.660,0.380
2,13:50,1,10,CLE 10,0,7,Jeff Garcia pass incomplete intended for Dennis Northcutt (defended by William Joseph),-0.380,-0.780
2,13:46,2,10,CLE 10,0,7,James Jackson right guard for 14 yards (tackle by Carlos Emmons),-0.780,0.540
2,13:12,1,10,CLE 24,0,7,James Jackson left guard for 7 yards (tackle by Carlos Emmons and Barrett Green),0.540,0.940
2,12:39,2,3,CLE 31,0,7,James Jackson up the middle for 2 yards (tackle by William Joseph and Carlos Emmons),0.940,0.500
2,11:54,3,1,CLE 33,0,7,James Jackson left guard for no gain (tackle by Kevin Lewis),0.500,-1.180
2,11:08,4,1,CLE 33,0,7,"Derrick Frost punts 48 yards, returned by Mark Jones for 21 yards (tackle by Derrick Frost)",-1.180,-1.600
2,10:54,1,10,NYG 40,0,7,Kurt Warner pass complete to Ike Hilliard for 9 yards,1.600,2.270
2,10:24,2,1,NYG 49,0,7,Mike Cloud right guard for 2 yards (tackle by Ebenezer Ekuban),2.270,2.320
2,9:45,1,10,CLE 49,0,7,Kurt Warner pass complete to Tim Carter for 18 yards (tackle by Robert Griffith),2.320,3.510
2,9:04,1,10,CLE 31,0,7,Kurt Warner pass incomplete intended for Tim Carter,3.510,2.970
2,8:51,2,10,CLE 31,0,7,Tiki Barber right end for 2 yards (tackle by Kenard Lang),2.970,2.540
2,8:03,,,,0,7,Timeout #2 by New York Giants,0.000,2.540
2,8:03,3,8,CLE 29,0,7,Kurt Warner pass complete to Tiki Barber for 4 yards (tackle by Kevin Bentley),2.540,1.880
2,7:57,4,4,CLE 25,0,10,Steve Christie 43 yard field goal good,1.880,3.000
2,,,,NYG 30,0,10,"Steve Christie kicks off 67 yards, returned by Richard Alston for 30 yards (tackle by Curtis DeLoatch)",0.000,1.140
2,7:44,1,10,CLE 33,0,10,Jeff Garcia pass complete to Dennis Northcutt for 5 yards (tackle by Brent Alexander),1.140,1.270
2,7:12,2,5,CLE 38,0,10,Jeff Garcia pass complete to Dennis Northcutt for no gain,1.270,0.560
2,6:34,3,5,CLE 38,0,10,Jeff Garcia pass incomplete (defended by Will Allen),0.560,-0.850
2,6:24,4,5,CLE 38,0,10,"Derrick Frost punts 52 yards. Penalty on Mark Jones: Offensive Holding, 5 yards",-0.850,0.380
2,6:12,1,10,NYG 5,0,10,Tiki Barber right guard for 8 yards (tackle by Tyrone Rogers),-0.380,-0.190
2,5:44,2,2,NYG 13,0,10,Tiki Barber right end for 5 yards (tackle by Robert Griffith),-0.190,0.040
2,4:55,1,10,NYG 18,0,10,Kurt Warner pass complete to Jeremy Shockey for 10 yards (tackle by Michael Lehan),0.040,0.810
2,4:22,1,10,NYG 28,0,10,Kurt Warner pass complete to Amani Toomer for 11 yards,0.810,1.530
2,3:51,1,10,NYG 39,0,10,Kurt Warner sacked by Ebenezer Ekuban for -6 yards,1.530,0.180
2,3:19,2,16,NYG 33,0,10,Kurt Warner pass incomplete intended for Tiki Barber,0.180,-0.490
2,3:12,3,16,NYG 33,0,10,Kurt Warner pass complete to Jeremy Shockey for 14 yards (tackle by Leigh Bodden),-0.490,-0.260
2,2:52,4,2,NYG 47,0,10,Jeff Feagles punts 45 yards,-0.260,0.380
2,2:42,1,10,CLE 8,0,10,Jeff Garcia pass incomplete intended for Quincy Morgan,-0.380,-0.780
2,2:37,2,10,CLE 8,0,10,Jeff Garcia pass incomplete intended for Quincy Morgan,-0.780,-1.420
2,2:33,3,10,CLE 8,0,10,Jeff Garcia pass complete to Andre King for 16 yards (tackle by Gibril Wilson),-1.420,0.540
2,2:00,1,10,CLE 24,0,10,Jeff Garcia pass complete to Quincy Morgan for 12 yards (tackle by Curtis DeLoatch),0.540,1.330
2,1:38,1,10,CLE 36,0,10,"Penalty on Joaquin Gonzalez: False Start, 5 yards (no play)",1.330,1.000
2,1:34,1,15,CLE 31,0,10,"Jeff Garcia pass incomplete intended for Quincy Morgan. Penalty on Barrett Green: Roughing the Passer, 15 yards (no play)",1.000,1.990
2,1:30,1,10,CLE 46,0,10,--,1.990,1.330
2,1:23,1,20,CLE 36,0,10,Jeff Garcia pass complete to Dennis Northcutt for 11 yards (tackle by Curtis DeLoatch),1.330,1.590
2,1:12,,,,0,10,Timeout #1 by Cleveland Browns,0.000,1.590
2,1:12,2,9,CLE 47,0,10,"Jeff Garcia pass incomplete intended for Dennis Northcutt. Penalty on Joaquin Gonzalez: Offensive Holding, 10 yards (no play)",1.590,0.240
2,1:06,2,19,CLE 37,0,10,Jeff Garcia pass complete to James Jackson for 1 yard (tackle by Osi Umenyiora),0.240,-0.300
2,0:37,3,18,CLE 38,0,10,Jeff Garcia pass complete to James Jackson for 13 yards (tackle by Osi Umenyiora),-0.300,0.000
2,0:03,,,,0,10,Timeout #2 by Cleveland Browns,0.000,0.000
2,0:03,4,5,NYG 49,0,10,Jeff Garcia pass incomplete is intercepted by Gibril Wilson,0.000,0.000
Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,0,10,"Steve Christie kicks off 55 yards, returned by Richard Alston for 17 yards (tackle by Willie Ponder)",0.000,1.070
3,14:56,1,10,CLE 32,0,10,William Green right tackle for 5 yards (tackle by Kevin Lewis),1.070,1.200
3,14:42,2,5,CLE 37,0,10,William Green right tackle for 12 yards (tackle by Barrett Green and Will Allen),1.200,2.190
3,14:06,1,10,CLE 49,0,10,"Penalty on Paul Zukauskas: False Start, 5 yards (no play)",2.190,1.860
3,13:48,1,15,CLE 44,0,10,--,1.860,2.860
3,13:23,2,1,NYG 42,0,10,William Green left end for 11 yards (tackle by Gibril Wilson and Brent Alexander),2.860,3.510
3,12:35,1,10,NYG 31,0,10,Jeff Garcia sacked by Michael Strahan for -4 yards,3.510,2.430
3,12:05,2,14,NYG 35,0,10,William Green right tackle for 1 yard (tackle by Norman Hand and Barrett Green),2.430,1.880
3,11:29,3,13,NYG 34,0,10,Jeff Garcia pass complete to Andre King for 12 yards (tackle by Brent Alexander),1.880,2.140
3,10:51,4,1,NYG 22,0,10,Jeff Garcia pass complete to Chad Mustard for 9 yards (tackle by Barrett Green),2.140,4.710
3,10:13,1,10,NYG 13,0,10,"William Green right end for 4 yards (tackle by Will Allen). Penalty on Terrelle Smith: Offensive Holding, 10 yards",4.710,4.260
3,10:13,1,16,NYG 19,0,10,William Green up the middle for 14 yards (tackle by Gibril Wilson),4.260,5.540
3,9:09,2,2,NYG 5,0,10,"Jeff Garcia for no gain. Jeff Garcia fumbles, recovered by Michael Strahan at NYG-5",5.540,0.380
3,8:57,1,10,NYG 5,0,10,Tiki Barber up the middle for -4 yards (tackle by Orpheus Roye),-0.380,-1.070
3,8:31,2,14,NYG 1,0,10,"Kurt Warner pass incomplete intended for Tim Carter (defended by Michael Lehan). Penalty on Robert Griffith: Personal Foul, 15 yards (no play)",-1.070,-0.140
3,8:20,1,10,NYG 16,0,10,Tiki Barber right tackle for 6 yards (tackle by Robert Griffith and Earl Little),-0.140,0.280
3,7:47,2,4,NYG 22,0,10,Kurt Warner pass incomplete intended for Jeremy Shockey,0.280,-0.570
3,7:39,3,4,NYG 22,0,10,Kurt Warner pass complete to Jeremy Shockey for 6 yards (tackle by Robert Griffith),-0.570,0.810
3,7:03,1,10,NYG 28,0,10,Kurt Warner pass complete to Ike Hilliard for 8 yards (tackle by Michael Lehan),0.810,1.340
3,6:22,2,2,NYG 36,0,10,Tiki Barber left guard for 6 yards,1.340,1.730
3,5:42,1,10,NYG 42,0,10,Kurt Warner pass complete to Amani Toomer for 14 yards,1.730,2.650
3,5:00,1,10,CLE 44,0,10,Tiki Barber left guard for no gain (tackle by Robert Griffith),2.650,2.110
3,4:18,2,10,CLE 44,0,10,Kurt Warner pass complete to Amani Toomer for 38 yards (tackle by Leigh Bodden),2.110,5.830
3,3:42,,,,0,10,Timeout #1 by New York Giants,0.000,5.830
3,3:42,1,6,CLE 6,0,10,Tiki Barber up the middle for 5 yards (tackle by Earl Little),5.830,5.910
3,3:03,2,1,CLE 1,0,16,"Kurt Warner right end for 1 yard, touchdown. Penalty on Tyrone Rogers: Defensive Holding (Declined)",5.910,7.000
3,,,,CLE 2,0,17,Steve Christie kicks extra point good,0.000,0.000
3,,,,NYG 30,0,17,"Steve Christie kicks off 68 yards, returned by Richard Alston for 23 yards (tackle by Marcellus Rivers). Penalty on Curtis DeLoatch: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,NYG 25,0,17,"Steve Christie kicks off 66 yards, returned by Richard Alston for 21 yards (tackle by Marcellus Rivers)",0.000,0.940
3,2:41,1,10,CLE 30,0,17,Jeff Garcia left end for 9 yards (tackle by Carlos Emmons),0.940,1.610
3,1:57,2,1,CLE 39,0,17,William Green right tackle for 1 yard (tackle by Fred Robbins and Brent Alexander),1.610,1.600
3,1:21,1,10,CLE 40,0,17,Jeff Garcia pass complete to Dennis Northcutt for 11 yards (tackle by Gibril Wilson),1.600,2.320
3,0:44,1,10,NYG 49,0,17,"William Green right end for 21 yards. Penalty on Dennis Northcutt: Offensive Holding, 10 yards",2.320,3.050
3,0:44,1,10,NYG 38,0,17,James Jackson up the middle for 1 yard (tackle by Michael Strahan),3.050,2.640
Quarter,Time,Down,ToGo,Location,CLE,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,NYG 37,0,17,Jeff Garcia pass incomplete intended for Aaron Shea,2.640,1.950
4,14:55,3,9,NYG 37,0,17,--,1.950,3.710
4,14:23,1,10,NYG 28,0,17,Jeff Garcia pass incomplete intended for William Green,3.710,3.170
4,14:14,2,10,NYG 28,0,17,Jeff Garcia pass complete to Dennis Northcutt for -3 yards (tackle by Brent Alexander),3.170,2.080
4,13:35,3,13,NYG 31,0,17,Jeff Garcia sacked by Michael Strahan for -1 yards,2.080,1.240
4,13:15,4,14,NYG 32,3,17,Phil Dawson 49 yard field goal good,1.240,3.000
4,,,,CLE 30,3,17,"Phil Dawson kicks off 70 yards, returned by Willie Ponder for 27 yards (tackle by Eric Westmoreland)",0.000,0.740
4,12:47,1,10,NYG 27,3,17,Tiki Barber right guard for 11 yards (tackle by Ebenezer Ekuban and Warrick Holdman),0.740,1.470
4,12:06,1,10,NYG 38,3,17,Kurt Warner pass complete to Ike Hilliard for 9 yards (tackle by Leigh Bodden),1.470,2.140
4,11:20,2,1,NYG 47,3,17,Tiki Barber right end for 6 yards (tackle by Michael Lehan and Chaun Thompson),2.140,2.460
4,10:38,1,10,CLE 47,3,17,Tiki Barber left guard for 5 yards (tackle by Michael Myers),2.460,2.590
4,9:56,2,5,CLE 42,3,17,Mike Cloud right tackle for no gain (tackle by Robert Griffith),2.590,1.880
4,9:09,3,5,CLE 42,3,17,Kurt Warner pass complete to Tiki Barber for 41 yards (tackle by Kevin Bentley),1.880,6.970
4,8:20,1,1,CLE 1,3,17,Mike Cloud left tackle for no gain (tackle by Orpheus Roye),6.970,5.910
4,7:38,2,1,CLE 1,3,17,Kurt Warner sacked by Kenard Lang for -6 yards,5.910,3.810
4,6:59,,,,3,17,Timeout #2 by New York Giants,0.000,3.810
4,6:59,3,7,CLE 7,3,17,Tiki Barber up the middle for no gain,3.810,2.970
4,6:49,,,,3,17,Timeout #1 by Cleveland Browns,0.000,2.970
4,6:49,4,7,CLE 7,3,20,Steve Christie 25 yard field goal good,2.970,3.000
4,,,,NYG 30,3,20,"Steve Christie kicks off 59 yards, returned by Richard Alston for 10 yards (tackle by Jack Brewer)",,
4,6:39,1,10,CLE 21,3,20,Jeff Garcia pass complete to Dennis Northcutt for 8 yards (tackle by Will Allen),0.340,0.880
4,6:14,2,2,CLE 29,3,20,--,0.880,1.530
4,5:47,1,10,CLE 39,3,20,"Jeff Garcia pass complete to James Jackson for 5 yards (tackle by Barrett Green). Penalty on Terry Cousin: Illegal Contact, 5 yards (no play)",1.530,1.860
4,5:19,1,10,CLE 44,3,20,Jeff Garcia pass complete to Dennis Northcutt for 8 yards (tackle by Terry Cousin),1.860,2.400
4,4:48,2,2,NYG 48,3,20,Jeff Garcia pass complete to James Jackson for 2 yards (tackle by Will Allen),2.400,2.520
4,4:41,1,10,NYG 46,3,20,Jeff Garcia pass incomplete intended for Dennis Northcutt,2.520,1.980
4,4:34,2,10,NYG 46,3,20,"Jeff Garcia pass complete to Quincy Morgan for 29 yards (tackle by Gibril Wilson). Penalty on Gibril Wilson: Personal Foul, 9 yards",1.980,5.370
4,4:27,1,8,NYG 8,3,20,Jeff Garcia pass complete to Dennis Northcutt for 5 yards (tackle by Curtis DeLoatch),5.370,5.530
4,3:40,2,3,NYG 3,9,20,"Jeff Garcia pass complete to Quincy Morgan for 3 yards, touchdown. Penalty on Will Allen: Defensive Pass Interference (Declined)",5.530,7.000
4,,,,NYG 2,10,20,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,10,20,"Phil Dawson kicks onside 11 yards, recovered by Jack Brewer",0.000,2.850
4,3:33,1,10,CLE 41,10,20,,2.850,4.510
4,3:25,1,10,CLE 16,10,20,Tiki Barber up the middle for 6 yards (tackle by Kenard Lang and Earl Little),4.510,4.970
4,3:13,,,,10,20,Timeout #2 by Cleveland Browns,0.000,4.970
4,3:13,2,4,CLE 10,10,20,Tiki Barber left end for 2 yards (tackle by Leigh Bodden and Chaun Thompson),4.970,4.620
4,2:52,,,,10,20,Timeout #3 by Cleveland Browns,0.000,4.620
4,2:52,3,2,CLE 8,10,20,Mike Cloud right tackle for 3 yards (tackle by Chaun Thompson and Robert Griffith),4.620,6.060
4,2:13,1,5,CLE 5,10,26,"Mike Cloud up the middle for 5 yards, touchdown",6.060,7.000
4,,,,CLE 2,10,27,Steve Christie kicks extra point good,0.000,0.000
4,,,,NYG 30,10,27,"Steve Christie kicks off 62 yards, returned by Richard Alston for 17 yards (tackle by Reggie Torbor). Penalty on Wesly Mallard: Offside on Free Kick, 5 yards (no play)",0.000,0.000
4,,,,NYG 25,10,27,"Steve Christie kicks off 64 yards, returned by Richard Alston for 13 yards (tackle by Jack Brewer)",0.000,0.540
4,1:52,1,10,CLE 24,10,27,Jeff Garcia pass complete to Dennis Northcutt for 5 yards (tackle by Gibril Wilson),0.540,0.670
4,1:29,2,5,CLE 29,10,27,"Jeff Garcia for no gain. Jeff Garcia fumbles, recovered by Michael Strahan at CLE-1 (tackle by Jeff Garcia)",0.670,-6.970
4,1:22,1,1,CLE 1,10,27,Kurt Warner kneels for -1 yards,6.970,5.720
4,0:41,2,2,CLE 2,10,27,Kurt Warner kneels for -2 yards,5.720,4.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
