Unnamed: 0,CHI,DET
First Downs,16,25
Rush-Yds-TDs,17-92-0,28-114-1
Cmp-Att-Yd-TD-INT,20-32-212-1-0,21-35-223-1-2
Sacked-Yards,1-8,3-14
Net Pass Yards,204,209
Total Yards,296,323
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,11-139,7-55
Third Down Conv.,4-10,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,25:43,34:17
