Unnamed: 0,MIN,CHI
First Downs,21,6
Rush-Yds-TDs,33-190-1,25-83-1
Cmp-Att-Yd-TD-INT,21-39-178-0-4,6-19-34-0-3
Sacked-Yards,5-22,1-10
Net Pass Yards,156,24
Total Yards,346,107
Fumbles-Lost,2-1,2-2
Turnovers,5,5
Penalties-Yards,12-69,9-65
Third Down Conv.,4-17,2-11
Fourth Down Conv.,1-1,1-1
Time of Possession,39:21,20:39
