Unnamed: 0,STL,DAL
First Downs,17,21
Rush-Yds-TDs,12-35-0,34-193-1
Cmp-Att-Yd-TD-INT,29-49-240-1-0,17-24-210-3-0
Sacked-Yards,6-43,1-7
Net Pass Yards,197,203
Total Yards,232,396
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,5-41,6-72
Third Down Conv.,1-13,5-11
Fourth Down Conv.,3-6,0-0
Time of Possession,26:32,33:28
