Quarter,Time,Tm,Detail,STL,DAL
1.0,7:06,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),0,7
,2:06,Cowboys,Dan Bailey 19 yard field goal,0,10
2.0,9:10,Cowboys,DeMarco Murray 2 yard rush (Dan Bailey kick),0,17
3.0,11:39,Cowboys,Gavin Escobar 24 yard pass from Tony Romo (Dan Bailey kick),0,24
,3:20,Rams,Austin Pettis 4 yard pass from Sam Bradford (Greg Zuerlein kick),7,24
4.0,11:55,Cowboys,Dwayne Harris 24 yard pass from Tony Romo (Dan Bailey kick),7,31
