Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
2,5:39,1,10,DAL 31,0,17,Tony Romo sacked by Kendall Langford for -7 yards,1.000,-0.490
2,4:56,2,17,DAL 24,0,17,"DeMarco Murray up the middle for -2 yards (tackle by Robert Quinn). DeMarco Murray fumbles (forced by Robert Quinn), recovered by DeMarco Murray at DAL-22",-0.490,-1.420
2,4:11,3,19,DAL 22,0,17,Tony Romo pass complete short middle to Jason Witten for 13 yards (tackle by T.J. McDonald),-1.420,-1.040
2,3:40,4,6,DAL 35,0,17,"Chris Jones punts 49 yards, returned by Tavon Austin for 84 yards. Penalty on Brandon McGee: Offensive Holding, 10 yards, Penalty on T.J. McDonald: Illegal Blindside Block (Declined)",-1.040,0.350
2,3:17,1,10,STL 12,0,17,Chris Givens left end for -4 yards (tackle by DeMarcus Ware),-0.350,-1.070
2,2:47,2,14,STL 8,0,17,Sam Bradford pass complete short right to Isaiah Pead for 8 yards (tackle by Justin Durant),-1.070,-0.950
2,2:02,3,6,STL 16,0,17,Sam Bradford pass incomplete deep middle intended for Austin Pettis (defended by Barry Church),-0.950,-2.390
2,1:56,4,6,STL 16,0,17,"Johnny Hekker punts 57 yards, returned by Cole Beasley for 12 yards (tackle by Matt Giordano)",-2.390,-1.530
2,1:45,1,10,DAL 39,0,17,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by James Laurinaitis),1.530,1.800
2,1:23,2,4,DAL 45,0,17,Tony Romo pass complete short middle to DeMarco Murray for 2 yards (tackle by James Laurinaitis),1.800,1.360
2,0:57,3,2,DAL 47,0,17,Tony Romo pass incomplete short left intended for Miles Austin,1.360,-0.260
2,0:52,4,2,DAL 47,0,17,Chris Jones punts 40 yards,-0.260,0.320
2,0:41,1,10,STL 13,0,17,Sam Bradford pass complete short middle to Jared Cook for 9 yards (tackle by Barry Church),-0.320,0.490
2,0:20,2,1,STL 22,0,17,Sam Bradford sacked by Jason Hatcher for -8 yards,0.490,-1.300
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,0,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,DAL 20,0,17,DeMarco Murray right guard for 6 yards (tackle by T.J. McDonald),0.280,0.540
3,14:27,2,4,DAL 26,0,17,DeMarco Murray left tackle for 41 yards (tackle by Rodney McLeod),0.540,3.380
3,13:38,1,10,STL 33,0,17,Lance Dunbar right tackle for 5 yards (tackle by Alec Ogletree),3.380,3.510
3,13:00,2,5,STL 28,0,17,Tony Romo pass complete short right to Dez Bryant for 11 yards (tackle by Trumaine Johnson),3.510,4.440
3,12:34,1,10,STL 17,0,17,"DeMarco Murray right tackle for 12 yards (tackle by T.J. McDonald). Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",4.440,3.780
3,12:16,1,20,STL 27,0,17,DeMarco Murray left end for 3 yards (tackle by Alec Ogletree),3.780,2.950
3,11:44,2,17,STL 24,0,23,"Tony Romo pass complete deep right to Gavin Escobar for 24 yards, touchdown",2.950,7.000
3,11:44,,,STL 2,0,24,Dan Bailey kicks extra point good,0.000,0.000
3,11:44,,,DAL 35,0,24,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,11:39,1,10,STL 20,0,24,"Sam Bradford pass complete deep middle to Chris Givens for 25 yards (tackle by Justin Durant). Chris Givens fumbles (forced by Justin Durant), recovered by Sean Lee at STL-45 and returned for 10 yards (tackle by Benny Cunningham)",0.280,-3.250
3,11:25,1,10,STL 35,0,24,Tony Romo pass incomplete short right intended for Miles Austin,3.250,2.700
3,11:17,2,10,STL 35,0,24,"Tony Romo pass incomplete deep right intended for Miles Austin. Penalty on Cortland Finnegan: Defensive Offside (Offsetting), Penalty on Tyron Smith: Offensive Holding (Offsetting) (no play)",2.700,2.700
3,11:10,2,10,STL 35,0,24,Tony Romo pass complete short middle to Dez Bryant for 16 yards (tackle by Rodney McLeod),2.700,4.310
3,10:28,1,10,STL 19,0,24,DeMarco Murray right tackle for 2 yards (tackle by Robert Quinn),4.310,4.030
3,9:51,2,8,STL 17,0,24,Tony Romo pass incomplete deep middle intended for Jason Witten,4.030,3.260
3,9:45,3,8,STL 17,0,24,Tony Romo pass incomplete short right intended for Dez Bryant,3.260,2.310
3,9:40,4,8,STL 17,0,24,Dan Bailey 35 yard field goal no good,2.310,-0.610
3,9:35,1,10,STL 25,0,24,Sam Bradford pass complete deep middle to Chris Givens for 29 yards (tackle by Sean Lee and J.J. Wilcox),0.610,2.520
3,8:57,1,10,DAL 46,0,24,Isaiah Pead left guard for 11 yards (tackle by Sean Lee),2.520,3.250
3,8:19,1,10,DAL 35,0,24,Sam Bradford sacked by DeMarcus Ware for -3 yards,3.250,2.300
3,7:36,2,13,DAL 38,0,24,Sam Bradford pass complete short right to Tavon Austin for 1 yard (tackle by J.J. Wilcox and Sean Lee),2.300,1.750
3,6:59,3,12,DAL 37,0,24,Sam Bradford pass complete short middle to Brian Quick for 7 yards (tackle by Morris Claiborne),1.750,1.450
3,6:22,4,5,DAL 30,0,24,"Sam Bradford pass incomplete deep right intended for Jared Cook is intercepted by J.J. Wilcox at DAL-7 and returned for 23 yards (tackle by Tavon Austin). Penalty on Jason Hatcher: Roughing the Passer, 15 yards, Penalty on Barry Church: Illegal Block Above the Waist (Declined) (no play)",1.450,4.580
3,6:06,1,10,DAL 15,0,24,Isaiah Pead up the middle for 3 yards (tackle by George Selvie),4.580,4.450
3,5:30,2,7,DAL 12,0,24,Sam Bradford pass complete short right to Isaiah Pead for 6 yards (tackle by Bruce Carter),4.450,4.900
3,4:49,3,1,DAL 6,0,24,Sam Bradford pass incomplete short middle intended for Chris Givens,4.900,3.020
3,4:44,4,1,DAL 6,0,24,Isaiah Pead up the middle for 1 yard (tackle by Justin Durant),3.020,6.060
3,4:15,1,5,DAL 5,0,24,Isaiah Pead up the middle for 1 yard (tackle by J.J. Wilcox),6.060,5.340
3,3:34,2,4,DAL 4,0,24,Sam Bradford pass incomplete short right intended for Brian Quick (defended by Barry Church),5.340,4.490
3,3:29,3,4,DAL 4,0,24,Sam Bradford pass incomplete short left intended for Brian Quick,4.490,4.490
3,3:25,3,4,DAL 4,0,24,Timeout #1 by St. Louis Rams,4.490,3.030
3,3:25,4,4,DAL 4,6,24,"Sam Bradford pass complete short middle to Austin Pettis for 4 yards, touchdown",3.030,7.000
3,3:25,,,DAL 2,7,24,Greg Zuerlein kicks extra point good,0.000,0.000
3,3:25,,,STL 35,7,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,3:20,1,10,DAL 20,7,24,DeMarco Murray for 13 yards (tackle by Rodney McLeod),0.280,1.140
3,2:47,1,10,DAL 33,7,24,DeMarco Murray left tackle for 8 yards (tackle by T.J. McDonald),1.140,1.670
3,2:06,2,2,DAL 41,7,24,DeMarco Murray up the middle for 4 yards (tackle by T.J. McDonald),1.670,1.930
3,1:21,1,10,DAL 45,7,24,DeMarco Murray right guard for 1 yard (tackle by James Laurinaitis),1.930,1.520
3,0:40,2,9,DAL 46,7,24,DeMarco Murray right end for 3 yards (tackle by Alec Ogletree),1.520,1.220
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,DAL 49,7,24,Tony Romo pass incomplete short right intended for Dez Bryant,1.220,-0.130
4,14:55,4,6,DAL 49,7,24,"Chris Jones punts 51 yards, touchback",-0.130,-0.280
4,14:46,1,10,STL 20,7,24,Sam Bradford pass complete short middle to Jared Cook for 19 yards (tackle by Sean Lee),0.280,1.530
4,14:15,1,10,STL 39,7,24,Sam Bradford pass incomplete short right intended for Benny Cunningham,1.530,0.990
4,14:09,2,10,STL 39,7,24,Sam Bradford pass incomplete short middle intended for Brian Quick,0.990,0.300
4,14:06,3,10,STL 39,7,24,Sam Bradford pass complete short right to Jared Cook for 6 yards (tackle by Bruce Carter),0.300,-0.390
4,13:25,4,4,STL 45,7,24,Sam Bradford pass incomplete short left intended for Chris Givens,-0.390,-2.590
4,13:19,1,10,STL 45,7,24,DeMarco Murray left tackle for -2 yards (tackle by T.J. McDonald),2.590,1.770
4,12:40,2,12,STL 47,7,24,Tony Romo pass complete deep left to Jason Witten for 23 yards (tackle by Rodney McLeod),1.770,3.970
4,12:02,1,10,STL 24,7,30,"Tony Romo pass complete deep right to Dwayne Harris for 24 yards, touchdown",3.970,7.000
4,12:02,,,STL 2,7,31,Dan Bailey kicks extra point good,0.000,0.000
4,12:02,,,DAL 35,7,31,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,11:55,1,10,STL 20,7,31,Sam Bradford pass complete short right to Isaiah Pead for 2 yards (tackle by Barry Church),0.280,0.000
4,11:25,2,8,STL 22,7,31,Sam Bradford pass complete short right to Tavon Austin for 9 yards (tackle by Bruce Carter),0.000,1.000
4,11:05,1,10,STL 31,7,31,Sam Bradford pass complete short right to Austin Pettis for 16 yards (tackle by Barry Church),1.000,2.060
4,10:38,1,10,STL 47,7,31,Sam Bradford pass complete short right to Isaiah Pead for 7 yards (tackle by Brandon Carr),2.060,2.460
4,10:10,2,3,DAL 46,7,31,Sam Bradford pass complete short middle to Tavon Austin for 8 yards (tackle by Sean Lee),2.460,3.050
4,9:46,1,10,DAL 38,7,31,Isaiah Pead left guard for no gain (tackle by Edgar Jones and DeMarcus Ware),3.050,2.510
4,9:22,2,10,DAL 38,7,31,Sam Bradford pass incomplete short middle intended for Chris Givens,2.510,1.820
4,9:17,3,10,DAL 38,7,31,"Sam Bradford pass incomplete short left intended for Chris Givens. Penalty on Morris Claiborne: Defensive Pass Interference, 17 yards (no play)",1.820,4.170
4,9:12,1,10,DAL 21,7,31,Sam Bradford pass incomplete short middle intended for Tavon Austin,4.170,3.630
4,9:09,2,10,DAL 21,7,31,Sam Bradford sacked by Kyle Wilber for -10 yards,3.630,1.620
4,8:32,3,20,DAL 31,7,31,Sam Bradford pass incomplete deep right intended for Chris Givens,1.620,1.320
4,8:25,4,20,DAL 31,7,31,Sam Bradford pass incomplete short middle intended for Jared Cook,1.320,-1.000
4,8:20,1,10,DAL 31,7,31,Phillip Tanner left tackle for 4 yards (tackle by Michael Brockers),1.000,1.000
4,8:20,2,6,DAL 35,7,31,Phillip Tanner left tackle for 1 yard (tackle by Will Witherspoon),1.000,0.430
4,6:47,3,5,DAL 36,7,31,Lance Dunbar right end for 8 yards (tackle by Alec Ogletree),0.430,1.860
4,5:58,1,10,DAL 44,7,31,Phillip Tanner left end for -6 yards (tackle by Robert Quinn),1.860,0.510
4,5:14,2,16,DAL 38,7,31,Lance Dunbar right tackle for 3 yards (tackle by Rodney McLeod),0.510,0.230
4,4:27,3,13,DAL 41,7,31,Lance Dunbar up the middle for 2 yards (tackle by Michael Brockers),0.230,0.230
4,4:21,3,13,DAL 41,7,31,Timeout #2 by St. Louis Rams,0.230,-0.520
4,4:21,4,11,DAL 43,7,31,"Chris Jones punts 55 yards, returned by Tavon Austin for 10 yards (tackle by Kyle Wilber). Penalty on Brandon McGee: Illegal Blindside Block, 6 yards",-0.520,0.380
4,4:08,1,10,STL 6,7,31,Benny Cunningham up the middle for 5 yards (tackle by Edgar Jones),-0.380,-0.420
4,3:46,2,5,STL 11,7,31,Sam Bradford pass complete short middle to Jared Cook for 6 yards (tackle by DeVonte Holloman),-0.420,-0.060
4,3:27,1,10,STL 17,7,31,Sam Bradford pass complete short middle to Benny Cunningham for 6 yards (tackle by Justin Durant),-0.060,0.350
4,3:07,2,4,STL 23,7,31,Sam Bradford pass complete short right to Jared Cook for 4 yards (tackle by Orlando Scandrick),0.350,0.740
4,2:35,1,10,STL 27,7,31,Sam Bradford pass complete short middle to Lance Kendricks for 5 yards (tackle by DeVonte Holloman),0.740,0.870
4,2:14,2,5,STL 32,7,31,Sam Bradford pass complete short right to Lance Kendricks for 18 yards (tackle by Jeff Heath and B.W. Webb),0.870,2.260
4,2:00,1,10,DAL 50,7,31,Sam Bradford pass incomplete,2.260,1.710
4,1:54,2,10,DAL 50,7,31,Sam Bradford pass complete short right to Isaiah Pead for 4 yards (tackle by Jeff Heath),1.710,1.550
4,1:48,3,6,DAL 46,7,31,"Sam Bradford pass incomplete deep middle intended for Chris Givens. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",1.550,2.850
4,1:43,1,10,DAL 41,7,31,Sam Bradford pass complete short right to Isaiah Pead for 2 yards (tackle by Justin Durant),2.850,2.580
4,1:15,2,8,DAL 39,7,31,Sam Bradford pass complete short right to Lance Kendricks for 3 yards (tackle by Jeff Heath),2.580,2.280
4,1:10,3,5,DAL 36,7,31,Sam Bradford pass incomplete deep left intended for Chris Givens (defended by Morris Claiborne),2.280,0.880
4,1:03,4,5,DAL 36,7,31,Sam Bradford pass complete short right to Lance Kendricks for 6 yards (tackle by Orlando Scandrick),0.880,3.580
4,0:39,1,10,DAL 30,7,31,Sam Bradford pass complete short middle to Lance Kendricks for 4 yards (tackle by DeVonte Holloman),3.580,3.570
4,0:11,2,6,DAL 26,7,31,Sam Bradford pass incomplete deep right intended for Austin Pettis,3.570,2.870
4,0:06,3,6,DAL 26,7,31,Benny Cunningham up the middle for 9 yards (tackle by Justin Durant),2.870,3.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
