Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA
1,9:14,1,10,TAM 14,3,6,"C.J. Stroud pass complete short left to Nico Collins for 14 yards, touchdown",4.650,7.000
1,9:10,,,TAM 15,3,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,9:10,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,9:10,1,10,TAM 25,3,7,Baker Mayfield pass complete short left to Rachaad White for 33 yards (tackle by Blake Cashman and Jalen Pitre),0.610,2.790
1,8:27,1,10,HOU 42,3,7,Rachaad White up the middle for 4 yards (tackle by Jerry Hughes),2.790,2.780
1,7:50,2,6,HOU 38,3,7,Rachaad White right guard for 4 yards (tackle by Denzel Perryman and Shaquill Griffin),2.780,2.610
1,7:16,3,2,HOU 34,3,7,Baker Mayfield pass complete short right to Mike Evans for 10 yards (tackle by M.J. Stewart),2.610,3.970
1,6:42,1,10,HOU 24,3,7,Ke'Shawn Vaughn right tackle for 1 yard (tackle by Jonathan Greenard),3.970,3.570
1,6:04,2,9,HOU 23,3,7,Ke'Shawn Vaughn left guard for 1 yard (tackle by Hassan Ridgeway),3.570,3.010
1,5:27,3,8,HOU 22,3,7,Baker Mayfield sacked by Will Anderson for -5 yards,3.010,1.670
1,5:27,4,13,HOU 27,3,7,"Penalty on Jimmie Ward: Unnecessary Roughness / Defense, 14 yards (accepted) Penalty on M.J. Stewart: Illegal Contact, 5 yards (declined) (no play)",1.670,4.710
1,4:47,1,10,HOU 13,3,7,Rachaad White up the middle for 4 yards (tackle by Blake Cashman and Henry To'oTo'o),4.710,4.770
1,4:13,2,6,HOU 9,3,7,Baker Mayfield pass incomplete short right intended for Mike Evans,4.770,3.880
1,4:10,3,6,HOU 9,3,7,"Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Blake Cashman). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)",3.880,2.670
1,3:42,3,16,HOU 19,3,7,Baker Mayfield pass complete short left to Chris Godwin for 15 yards (tackle by Henry To'oTo'o and Steven Nelson),2.670,3.040
1,3:18,4,1,HOU 4,3,7,Rachaad White right tackle for 3 yards (tackle by Henry To'oTo'o and Tavierre Thomas),3.040,6.970
1,2:54,1,1,HOU 1,3,7,Baker Mayfield right end for -2 yards (tackle by Blake Cashman),6.970,5.530
1,2:19,2,3,HOU 3,9,7,"Baker Mayfield pass complete short middle to Cade Otton for 3 yards, touchdown",5.530,7.000
1,2:13,,,HOU 15,10,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,2:13,,,TAM 35,10,7,"Jake Camarda kicks off 64 yards, returned by Mike Boone for 8 yards (tackle by Cam Gill and Josh Hayes)",0.000,-0.380
1,2:08,1,10,HOU 9,10,7,Devin Singletary right end for 1 yard (tackle by Lavonte David),-0.380,-0.710
1,1:33,2,9,HOU 10,10,7,C.J. Stroud pass incomplete deep left intended for Tank Dell,-0.710,-1.300
1,1:27,,,,,,Timeout #1 by Houston Texans,,
1,1:27,3,9,HOU 10,10,7,C.J. Stroud pass incomplete short left intended for Tank Dell,-1.300,-2.490
1,1:22,4,9,HOU 10,10,7,"Cameron Johnston punts 58 yards, returned by Deven Thompkins for 4 yards (tackle by M.J. Stewart)",-2.490,-1.330
1,1:07,1,10,TAM 36,10,7,Chase Edmonds left tackle for 2 yards (tackle by Blake Cashman and Denzel Perryman),1.330,1.060
1,0:31,2,8,TAM 38,10,7,"Baker Mayfield pass complete deep left to Mike Evans for no gain. Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",1.060,-0.290
1,0:07,2,18,TAM 28,10,7,Chase Edmonds up the middle for 1 yard (tackle by Will Anderson and Blake Cashman),-0.290,-0.820
Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,TAM 29,10,7,Baker Mayfield pass complete short middle to Cade Otton for 9 yards (tackle by Jimmie Ward),-0.820,-0.850
2,14:20,4,8,TAM 38,10,7,Jake Camarda punts 52 yards out of bounds,-0.850,0.380
2,14:11,1,10,HOU 10,10,7,Devin Singletary left tackle for -2 yards (tackle by Shaquil Barrett),-0.380,-0.930
2,13:36,2,12,HOU 8,10,7,C.J. Stroud pass complete short right to Noah Brown for -1 yards (tackle by Christian Izien and Devin White),-0.930,-1.770
2,12:54,3,13,HOU 7,10,7,Mike Boone right guard for 3 yards (tackle by Calijah Kancey),-1.770,-2.490
2,12:15,4,10,HOU 10,10,7,"Cameron Johnston punts 54 yards, returned by Deven Thompkins for 9 yards (tackle by D'Angelo Ross). Penalty on D'Angelo Ross: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",-2.490,-2.920
2,12:03,1,10,HOU 40,10,7,Baker Mayfield pass complete deep left to Mike Evans for 16 yards (tackle by Steven Nelson),2.920,3.970
2,11:30,1,10,HOU 24,10,7,Rachaad White left guard for 11 yards (tackle by Christian Harris and M.J. Stewart),3.970,4.710
2,10:51,1,10,HOU 13,10,7,Rachaad White left guard for 3 yards (tackle by Will Anderson),4.710,4.580
2,10:17,2,7,HOU 10,10,7,Rachaad White right guard for no gain (tackle by Jalen Pitre),4.580,3.650
2,9:36,3,7,HOU 10,10,7,Baker Mayfield pass complete short left to Rachaad White for 9 yards (tackle by Khalil Davis and Blake Cashman),3.650,6.970
2,9:07,1,1,HOU 1,16,7,"Rachaad White left guard for 1 yard, touchdown",6.970,7.000
2,9:05,,,HOU 15,17,7,Chase McLaughlin kicks extra point good,0.000,0.000
2,9:05,,,TAM 35,17,7,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
2,9:05,1,10,HOU 25,17,7,C.J. Stroud pass complete short right to Devin Singletary for 3 yards (tackle by Carlton Davis and Devin White),0.610,0.470
2,8:26,2,7,HOU 28,17,7,C.J. Stroud pass complete short middle to Tank Dell for 13 yards (tackle by Carlton Davis and Zyon McCollum),0.470,1.660
2,7:44,1,10,HOU 41,17,7,C.J. Stroud pass incomplete short middle intended for Nico Collins,1.660,1.120
2,7:38,2,10,HOU 41,17,7,C.J. Stroud pass incomplete deep left intended for Tank Dell,1.120,0.430
2,7:32,3,10,HOU 41,17,7,C.J. Stroud pass complete short middle to Dalton Schultz for 12 yards (tackle by Carlton Davis),0.430,2.460
2,6:55,1,10,TAM 47,17,7,C.J. Stroud pass complete short left to John Metchie for 14 yards (tackle by Zyon McCollum),2.460,3.380
2,6:23,1,10,TAM 33,17,7,Devin Singletary left tackle for 1 yard (tackle by Lavonte David),3.380,2.970
2,5:42,2,9,TAM 32,17,7,C.J. Stroud pass incomplete deep right,2.970,2.280
2,5:36,3,9,TAM 32,17,7,C.J. Stroud pass incomplete deep right,2.280,1.240
2,5:22,4,9,TAM 32,17,10,Ka'imi Fairbairn 50 yard field goal good,1.240,3.000
2,5:17,,,HOU 35,17,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,5:17,1,10,TAM 25,17,10,Ke'Shawn Vaughn right guard for 3 yards (tackle by Jerry Hughes),0.610,0.470
2,4:35,2,7,TAM 28,17,10,Ke'Shawn Vaughn left guard for 4 yards (tackle by Jalen Pitre and Christian Harris),0.470,0.300
2,3:48,3,3,TAM 32,17,10,Baker Mayfield pass complete short right to Ke'Shawn Vaughn for -1 yards (tackle by Christian Harris),0.300,-1.310
2,3:08,4,4,TAM 31,17,10,Jake Camarda punts 53 yards out of bounds,-1.310,0.140
2,3:00,1,10,HOU 16,17,10,C.J. Stroud pass complete short middle to Dalton Schultz for 9 yards (tackle by Ryan Neal),-0.140,0.690
2,2:24,2,1,HOU 25,17,10,"C.J. Stroud sacked by Calijah Kancey for -13 yards. Penalty on Noah Brown: Illegal Shift, 5 yards (declined)",0.690,-1.890
2,2:00,3,14,HOU 12,17,10,C.J. Stroud pass complete short right to Nico Collins for 17 yards (tackle by Antoine Winfield and Lavonte David),-1.890,0.870
2,1:29,1,10,HOU 29,17,10,"C.J. Stroud pass incomplete short left intended for Noah Brown. Penalty on Christian Izien: Defensive Holding, 5 yards (accepted) (no play)",0.870,1.200
2,1:25,1,10,HOU 34,17,10,C.J. Stroud pass complete short middle to Tank Dell for 16 yards (tackle by Zyon McCollum),1.200,2.260
2,1:02,1,10,TAM 50,17,10,C.J. Stroud sacked by Devin White for -7 yards,2.260,0.770
2,0:57,,,,,,Timeout #2 by Houston Texans,,
2,0:57,2,17,HOU 43,17,10,C.J. Stroud pass complete short right to Devin Singletary for -3 yards (tackle by Lavonte David),0.770,-0.300
2,0:13,3,20,HOU 40,17,10,"C.J. Stroud pass complete short left to Nico Collins for no gain (tackle by Zyon McCollum). Penalty on Shaquil Barrett: Defensive Offside, 5 yards (accepted) (no play)",-0.300,0.370
2,0:07,3,15,HOU 45,17,10,C.J. Stroud pass complete short right to Nico Collins for 12 yards (tackle by Carlton Davis). Penalty on Laremy Tunsil: Offensive Holding (accepted) (no play),0.370,-0.390
Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,17,10,"Dare Ogunbowale kicks off 61 yards, returned by Deven Thompkins for 23 yards (tackle by Xavier Hutchinson)",0.000,0.740
3,14:55,1,10,TAM 27,17,10,"Baker Mayfield pass complete short middle to Rachaad White for 3 yards (tackle by Denzel Perryman). Penalty on Denzel Perryman: Unnecessary Roughness / Defense, 15 yards (accepted)",0.740,1.930
3,14:28,1,10,TAM 45,17,10,Baker Mayfield pass incomplete deep left intended for Chris Godwin,1.930,1.380
3,14:22,2,10,TAM 45,17,10,Rachaad White right tackle for 16 yards (tackle by Tavierre Thomas),1.380,2.980
3,13:39,1,10,HOU 39,17,10,Baker Mayfield pass incomplete deep right intended for Trey Palmer (defended by Jalen Pitre),2.980,2.440
3,13:34,2,10,HOU 39,17,10,Baker Mayfield pass incomplete deep right intended for Cade Otton,2.440,1.750
3,13:27,3,10,HOU 39,17,10,Baker Mayfield pass complete short left to Cade Otton for 8 yards (tackle by Tavierre Thomas and Steven Nelson),1.750,1.400
3,12:42,4,2,HOU 31,20,10,Chase McLaughlin 49 yard field goal good,1.400,3.000
3,12:38,,,TAM 35,20,10,"Jake Camarda kicks off 61 yards, returned by Tank Dell for 21 yards (tackle by Rakim Jarrett)",0.000,0.610
3,12:32,1,10,HOU 25,20,16,"C.J. Stroud pass complete deep left to Noah Brown for 75 yards, touchdown",0.610,7.000
3,12:20,,,TAM 2,20,16,Two Point Attempt: C.J. Stroud pass complete to . Interception by Joe Tryon-Shoyinka,1.000,-1.000
3,12:20,,,HOU 35,20,16,"Penalty on Joe Tryon-Shoyinka: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.000,0.000
3,12:20,,,HOU 50,20,16,"Dare Ogunbowale kicks off 50 yards, touchback.",0.000,0.610
3,12:20,1,10,TAM 25,20,16,Rachaad White left tackle for 1 yard (tackle by Jerry Hughes and Blake Cashman),0.610,0.200
3,11:40,2,9,TAM 26,20,16,Baker Mayfield left end for no gain (tackle by Christian Harris),0.200,-0.490
3,10:59,3,9,TAM 26,20,16,"Baker Mayfield pass incomplete deep middle intended for Trey Palmer (defended by Shaquill Griffin). Penalty on Shaquill Griffin: Defensive Pass Interference, 37 yards (accepted) (no play)",-0.490,3.120
3,10:53,1,10,HOU 37,20,16,Baker Mayfield pass incomplete short right intended for Cade Otton (defended by Christian Harris),3.120,2.570
3,10:49,2,10,HOU 37,20,16,Rachaad White up the middle for -1 yards (tackle by Blake Cashman and Dylan Horton),2.570,1.750
3,10:11,3,11,HOU 38,20,16,Baker Mayfield scrambles left end for 1 yard (tackle by Tavierre Thomas),1.750,0.790
3,9:28,4,10,HOU 37,23,16,Chase McLaughlin 55 yard field goal good,0.790,3.000
3,9:23,,,TAM 35,23,16,"Jake Camarda kicks off 67 yards, returned by Tank Dell for 23 yards (tackle by Josh Hayes)",0.000,0.340
3,9:18,1,10,HOU 21,23,16,Devin Singletary left tackle for 2 yards (tackle by Vita Vea),0.340,0.070
3,8:40,2,8,HOU 23,23,16,C.J. Stroud pass complete deep middle to Nico Collins for 23 yards (tackle by Lavonte David),0.070,1.990
3,7:58,1,10,HOU 46,23,16,Devin Singletary right tackle for 9 yards (tackle by Dee Delaney and Devin White),1.990,2.670
3,7:15,2,1,TAM 45,23,16,C.J. Stroud pass incomplete deep left intended for Tank Dell,2.670,1.950
3,7:08,3,1,TAM 45,23,16,"Devin Singletary up the middle for no gain (tackle by Calijah Kancey). Penalty on Michael Deiter: Offensive Holding, 10 yards (accepted) (no play)",1.950,0.630
3,6:42,3,11,HOU 45,23,16,C.J. Stroud pass complete short middle to Dalton Schultz for 26 yards (tackle by Devin White),0.630,3.640
3,6:05,1,10,TAM 29,23,22,"C.J. Stroud pass complete deep right to Tank Dell for 29 yards, touchdown",3.640,7.000
3,5:59,,,TAM 2,23,22,Two Point Attempt: C.J. Stroud pass incomplete intended for intended for Tank Dell,1.000,-1.000
3,5:59,,,HOU 35,23,22,"Dare Ogunbowale kicks off 55 yards, returned by Deven Thompkins for 19 yards (tackle by Tavierre Thomas). Penalty on Cam Gill: Offensive Holding, 10 yards (accepted)",0.000,0.150
3,5:50,1,10,TAM 19,23,22,Baker Mayfield pass complete short right to Chase Edmonds for -1 yards (tackle by Tavierre Thomas),0.150,-0.560
3,5:07,2,11,TAM 18,23,22,Baker Mayfield pass complete short left to Chris Godwin for 1 yard (tackle by Denzel Perryman),-0.560,-1.070
3,4:27,3,10,TAM 19,23,22,Baker Mayfield sacked by Khalil Davis for -9 yards,-1.070,-2.490
3,3:48,4,19,TAM 10,23,22,"Jake Camarda punts 49 yards, returned by Tank Dell for 7 yards (tackle by Zach Triner)",-2.490,-2.130
3,3:37,1,10,HOU 48,23,22,"C.J. Stroud pass complete short right to Dalton Schultz for 13 yards (tackle by Carlton Davis and Christian Izien). Penalty on Carlton Davis: Defensive Holding, 5 yards (declined)",2.130,2.980
3,3:07,1,10,TAM 39,23,22,Devin Singletary left tackle for 6 yards (tackle by Greg Gaines),2.980,3.250
3,2:26,2,4,TAM 33,23,22,C.J. Stroud pass complete short middle to Andrew Beck for 6 yards (tackle by Lavonte David and Devin White),3.250,3.780
3,1:40,1,10,TAM 27,23,22,Xavier Hutchinson left end for 12 yards (tackle by Anthony Nelson and Mike Greene),3.780,4.580
3,0:53,1,10,TAM 15,23,22,C.J. Stroud pass complete short left to Dalton Schultz for 11 yards (tackle by Zyon McCollum),4.580,6.280
3,0:29,1,4,TAM 4,23,22,Devin Singletary up the middle for -4 yards (tackle by Vita Vea),6.280,4.570
Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,TAM 8,23,22,Devin Singletary up the middle for -1 yards (tackle by Calijah Kancey),4.570,3.360
4,14:20,3,9,TAM 9,23,22,C.J. Stroud pass incomplete short left intended for Nico Collins (defended by Zyon McCollum),3.360,2.830
4,14:15,4,9,TAM 9,23,28,"C.J. Stroud pass complete short right to Dalton Schultz for 9 yards, touchdown",2.830,7.000
4,14:11,,,TAM 2,23,30,"Two Point Attempt: C.J. Stroud rushes, conversion succeeds.",1.000,1.000
4,14:11,,,HOU 35,23,30,"Dare Ogunbowale kicks off 65 yards, touchback.",0.000,0.610
4,14:11,1,10,TAM 25,23,30,Rachaad White left tackle for 1 yard (tackle by Khalil Davis),0.610,0.200
4,13:33,2,9,TAM 26,23,30,Baker Mayfield pass complete short middle to Cade Otton for 9 yards (tackle by Christian Harris),0.200,1.270
4,12:53,1,10,TAM 35,23,30,Rachaad White up the middle for 11 yards (tackle by Jonathan Greenard),1.270,1.990
4,12:12,1,10,TAM 46,23,30,"Baker Mayfield pass complete deep left to Mike Evans for 53 yards Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Baker Mayfield pass complete deep left to Mike Evans for 53 yards (tackle by Steven Nelson)",1.990,6.970
4,11:48,1,1,HOU 1,23,30,Baker Mayfield pass incomplete short right intended for Chris Godwin,6.970,5.910
4,11:46,2,1,HOU 1,29,30,"Rachaad White left guard for 1 yard, touchdown",5.910,7.000
4,11:43,,,HOU 15,30,30,Chase McLaughlin kicks extra point good,0.000,0.000
4,11:43,,,TAM 35,30,30,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
4,11:43,1,10,HOU 25,30,30,"C.J. Stroud pass complete short middle to Noah Brown for 28 yards (tackle by Zyon McCollum). Penalty on Zyon McCollum: Defensive Holding, 5 yards (declined)",0.610,2.460
4,11:16,1,10,TAM 47,30,30,"Devin Singletary left end for 1 yard, lateral to C.J. Stroud for 10 yards (tackle by Devin White)",2.460,3.180
4,10:39,1,10,TAM 36,30,30,"C.J. Stroud pass complete deep left to Noah Brown for 31 yards (tackle by Antoine Winfield). Penalty on Carlton Davis: Defensive Holding, 5 yards (declined)",3.180,6.060
4,10:11,1,5,TAM 5,30,30,"Penalty on Xavier Hutchinson: False Start, 5 yards (accepted) (no play)",6.060,4.910
4,10:07,1,10,TAM 10,30,30,C.J. Stroud pass complete short middle to Andrew Beck for -1 yards (tackle by Calijah Kancey),4.910,4.020
4,9:41,2,11,TAM 11,30,30,Tank Dell left end for no gain (tackle by Devin White and Antoine Winfield),4.020,3.120
4,8:55,3,11,TAM 11,30,30,C.J. Stroud pass incomplete short right intended for Dalton Schultz,3.120,2.700
4,8:48,4,11,TAM 11,30,33,Dare Ogunbowale 29 yard field goal good,2.700,3.000
4,8:45,,,HOU 35,30,33,"Dare Ogunbowale kicks off 50 yards, returned by Deven Thompkins for 12 yards (tackle by Ka'dar Hollman and D'Angelo Ross)",0.000,0.740
4,8:41,1,10,TAM 27,30,33,Rachaad White left guard for 1 yard (tackle by Jerry Hughes),0.740,0.330
4,8:04,2,9,TAM 28,30,33,Rachaad White up the middle for 2 yards (tackle by Jalen Pitre and Tavierre Thomas),0.330,-0.100
4,7:21,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,7:21,3,7,TAM 30,30,33,"Baker Mayfield pass incomplete short right intended for Chris Godwin. Penalty on Baker Mayfield: Illegal Motion, 5 yards (declined)",-0.100,-1.370
4,7:17,4,7,TAM 30,30,33,Jake Camarda punts 48 yards out of bounds,-1.370,-0.410
4,7:11,1,10,HOU 22,30,33,"C.J. Stroud pass complete short left to Noah Brown for no gain (tackle by Zyon McCollum). Penalty on George Fant: Offensive Holding, 10 yards (accepted) (no play)",0.410,-0.660
4,6:40,1,20,HOU 12,30,33,Devin Singletary left guard for 6 yards (tackle by Vita Vea),-0.660,-0.770
4,6:07,2,14,HOU 18,30,33,"C.J. Stroud pass incomplete deep right intended for Nico Collins (defended by Zyon McCollum). Penalty on Laremy Tunsil: Offensive Holding, 9 yards (accepted) (no play)",-0.770,-1.730
4,5:59,2,23,HOU 9,30,33,Devin Singletary up the middle for 5 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),-1.730,-2.240
4,5:21,3,18,HOU 14,30,33,"C.J. Stroud sacked by Shaquil Barrett for -7 yards. C.J. Stroud fumbles (forced by Shaquil Barrett), recovered by George Fant at HOU-8 and returned for 6 yards",-2.240,-2.490
4,4:42,4,24,HOU 8,30,33,"Cameron Johnston punts 62 yards, returned by Deven Thompkins for 9 yards (tackle by Henry To'oTo'o)",-2.490,-1.530
4,4:27,1,10,TAM 39,30,33,Baker Mayfield pass complete short left to Mike Evans for 8 yards (tackle by Jalen Pitre and Denzel Perryman),1.530,2.070
4,3:53,2,2,TAM 47,30,33,Rachaad White up the middle for 1 yard (tackle by Maliek Collins),2.070,1.490
4,3:15,3,1,TAM 48,30,33,Rachaad White right guard for 3 yards (tackle by Tavierre Thomas and DeAndre Houston-Carson),1.490,2.320
4,2:31,1,10,HOU 49,30,33,Chase Edmonds left tackle for -8 yards (tackle by Jalen Pitre),2.320,0.700
4,2:00,2,18,TAM 43,30,33,Baker Mayfield pass incomplete deep middle intended for Chris Godwin (defended by Khalil Davis),0.700,0.040
4,1:55,3,18,TAM 43,30,33,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",0.040,-0.630
4,1:55,3,23,TAM 38,30,33,Baker Mayfield pass complete deep middle to Trey Palmer for 21 yards (tackle by DeAndre Houston-Carson),-0.630,0.530
4,1:13,4,2,HOU 41,30,33,Baker Mayfield scrambles left end for 5 yards (tackle by Tavierre Thomas and Khalil Davis),0.530,3.180
4,1:02,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:02,1,10,HOU 36,30,33,Rachaad White left guard for 7 yards (tackle by Steven Nelson),3.180,3.580
4,0:53,,,,,,Timeout #1 by Houston Texans,,
4,0:53,2,3,HOU 29,30,33,"Baker Mayfield pass complete short middle to Trey Palmer for 15 yards. Trey Palmer fumbles (forced by Tavierre Thomas), recovered by Mike Evans at HOU-14 (tackle by Tavierre Thomas) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.580,4.650
4,0:49,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,0:49,1,10,HOU 14,36,33,"Baker Mayfield pass complete short middle to Cade Otton for 14 yards, touchdown",4.650,7.000
4,0:46,,,HOU 15,37,33,Chase McLaughlin kicks extra point good,0.000,0.000
4,0:46,,,TAM 35,37,33,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
4,0:46,1,10,HOU 25,37,33,C.J. Stroud pass complete short middle to Dalton Schultz for 14 yards (tackle by Lavonte David),0.610,1.530
4,0:39,,,,,,Timeout #2 by Houston Texans,,
4,0:39,1,10,HOU 39,37,33,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Zyon McCollum),1.530,1.800
4,0:31,,,,,,Timeout #3 by Houston Texans,,
4,0:31,2,4,HOU 45,37,33,C.J. Stroud pass complete short middle to Noah Brown for 14 yards (tackle by Lavonte David),1.800,2.850
4,0:16,1,10,TAM 41,37,33,C.J. Stroud spiked the ball,2.850,2.310
4,0:16,2,10,TAM 41,37,33,C.J. Stroud pass complete deep left to Tank Dell for 26 yards,2.310,4.580
4,0:10,1,10,TAM 15,37,39,"C.J. Stroud pass complete short middle to Tank Dell for 15 yards, touchdown",4.580,7.000
4,0:06,,,TAM 2,37,39,"Two Point Attempt: C.J. Stroud rushes, conversion fails.",1.000,-1.000
4,0:06,,,HOU 35,37,39,"Penalty on Lavonte David: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.000,0.000
4,0:06,,,HOU 50,37,39,"Dare Ogunbowale kicks off 50 yards, touchback.",0.000,0.610
4,0:06,1,10,TAM 25,37,39,"Baker Mayfield pass complete short right to Trey Palmer for 15 yards, lateral to Robert Hainsey for no gain, lateral to Cade Otton for no gain. Cade Otton fumbles (forced by Henry To'oTo'o), recovered by DeAndre Houston-Carson at TB-41 (tackle by Tristan Wirfs)",0.610,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
