Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 60 yards, returned by Marcus Sherels for 19 yards (tackle by LaRoy Reynolds)",0.000,-0.540
1,14:56,1,10,MIN 24,0,0,Case Keenum pass complete short right to Stefon Diggs for 13 yards (tackle by Deion Jones),0.540,1.400
1,14:14,1,10,MIN 37,0,0,Latavius Murray left guard for 1 yard (tackle by Brooks Reed and Grady Jarrett),1.400,0.990
1,13:34,2,9,MIN 38,0,0,Jerick McKinnon left guard for 6 yards (tackle by Dontari Poe),0.990,1.090
1,13:01,3,3,MIN 44,0,0,Case Keenum pass incomplete short left intended for Stefon Diggs (defended by Robert Alford),1.090,-0.460
1,12:55,4,3,MIN 44,0,0,"Ryan Quigley punts 34 yards, fair catch by Andre Roberts",-0.460,-0.410
1,12:48,1,10,ATL 22,0,0,Matt Ryan pass incomplete short left intended for Julio Jones,0.410,-0.130
1,12:44,2,10,ATL 22,0,0,Devonta Freeman left tackle for no gain (tackle by Linval Joseph),-0.130,-0.820
1,12:01,3,10,ATL 22,0,0,"Matt Ryan pass incomplete short left intended for Mohamed Sanu (defended by Mackensie Alexander). Penalty on Mackensie Alexander: Defensive Pass Interference, 11 yards (no play)",-0.820,1.140
1,11:56,1,10,ATL 33,0,0,Tevin Coleman right guard for -2 yards (tackle by Tom Johnson),1.140,0.320
1,11:20,2,12,ATL 31,0,0,Matt Ryan pass complete short right to Austin Hooper for 6 yards (tackle by Eric Kendricks and Andrew Sendejo),0.320,0.430
1,10:56,3,6,ATL 37,0,0,Matt Ryan pass complete short right to Levine Toilolo for 16 yards (tackle by Eric Kendricks),0.430,2.460
1,10:19,1,10,MIN 47,0,0,"Matt Ryan pass complete short left to Taylor Gabriel for 4 yards (tackle by Harrison Smith). Penalty on Jake Matthews: Illegal Block Above the Waist, 10 yards (no play)",2.460,1.800
1,9:54,1,20,ATL 43,0,0,Devonta Freeman right end for 5 yards (tackle by Ben Gedeon),1.800,1.240
1,9:10,2,15,ATL 48,0,0,Matt Ryan pass complete short left to Austin Hooper for 7 yards (tackle by Anthony Barr),1.240,1.490
1,8:01,3,8,MIN 45,0,0,"Devonta Freeman for 6 yards (tackle by Eric Kendricks). Penalty on Alex Mack: Offensive Holding, 10 yards",1.490,0.960
1,7:59,3,12,MIN 49,0,0,Matt Ryan pass complete short middle to Tevin Coleman for 10 yards (tackle by Emmanuel Lamur),0.960,0.000
1,7:25,,,,,,Timeout #1 by Minnesota Vikings,0.000,-0.660
1,7:25,4,2,MIN 39,0,0,Matt Ryan pass complete short right to Tevin Coleman for 15 yards (tackle by Anthony Barr),0.660,3.970
1,6:41,1,10,MIN 24,0,0,"Devonta Freeman right tackle for 3 yards (tackle by Shamar Stephen). Penalty on Ben Garland: Offensive Holding, 10 yards",3.970,3.510
1,6:20,1,17,MIN 31,0,0,Matt Ryan pass incomplete deep left intended for Tevin Coleman,3.510,2.490
1,6:14,2,17,MIN 31,0,0,Matt Ryan pass incomplete short left intended for Austin Hooper,2.490,1.820
