Unnamed: 0,MIN,ATL
First Downs,22,15
Rush-Yds-TDs,31-105-0,22-102-0
Cmp-Att-Yd-TD-INT,25-30-227-2-0,16-29-173-0-0
Sacked-Yards,2-20,0-0
Net Pass Yards,207,173
Total Yards,312,275
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-51,7-55
Third Down Conv.,6-12,1-10
Fourth Down Conv.,0-0,1-1
Time of Possession,34:02,25:58
